Retinoic acid	444795
Temsirolimus	6918289
Rapamycin	5284616
Docetaxel	148124
crizotinib	11626560
Dinaciclib	46926350
Cytarabine	6253
Afatinib	10184653
Trametinib (DMSO_TF solvate)	11707110
Erlotinib	176870
Bicalutamide	2375
Fulvestrant	104741
Trametinib	11707110
Methotrexate	126941
5-Fluorouracil	3385
5-Azacytidine	9444
Vismodegib	24776445
Gefitinib	123631
olaparib	23725625
Ribociclib	44631912
Capivasertib	25227436
Gemcitabine	60750
Irinotecan	60838
Oxaliplatin	9887053
Alpelisib	56649450
palbociclib	5330286
venetoclax	49846579
AZD-8055	25262965
Dabrafenib	44462760
Paclitaxel	36314
Ipatasertib	24788740
LJI308	118704762
Bortezomib	387447
