source,method,global,interaction,perdrug,p_label,null_p95,null_sd,regret@1,regret@3,n,z_random,p_random,random_mean,n_random_draws,same_as
additive,hallmark,0.088,-0.039,-0.033,0.9181,0.049,0.029,0.855,0.579,1313,NaN,NaN,NaN,NaN,NaN
additive,proliferation,0.098,-0.034,-0.032,0.8811,0.050,0.029,0.585,0.535,1313,NaN,NaN,NaN,NaN,NaN
knn,hallmark,0.080,0.031,-0.008,0.1309,0.045,0.029,0.788,0.587,1313,NaN,NaN,NaN,NaN,NaN
knn,proliferation,0.092,0.019,0.062,0.2348,0.044,0.026,0.628,0.426,1313,NaN,NaN,NaN,NaN,NaN
pca,hallmark,0.082,-0.038,-0.031,0.9081,0.048,0.029,0.855,0.579,1313,NaN,NaN,NaN,NaN,NaN
pca,proliferation,0.112,-0.031,0.007,0.8621,0.051,0.029,0.585,0.514,1313,NaN,NaN,NaN,NaN,NaN
nmf,hallmark,0.076,-0.038,-0.045,0.9041,0.049,0.029,0.855,0.579,1313,NaN,NaN,NaN,NaN,NaN
nmf,proliferation,0.088,-0.032,-0.055,0.8771,0.050,0.029,0.585,0.535,1313,NaN,NaN,NaN,NaN,NaN
stack,hallmark,-0.065,0.009,0.014,0.3806,0.046,0.029,0.850,0.646,1313,NaN,NaN,NaN,NaN,NaN
stack,proliferation,-0.076,-0.028,0.054,0.8581,0.046,0.028,0.801,0.570,1313,NaN,NaN,NaN,NaN,NaN
expr,l2,0.533,-0.024,-0.062,0.7323,0.058,0.037,0.351,0.167,1303,0.04,0.4762,-0.026,20.0,NaN
expr,l1,0.598,-0.054,-0.120,0.9351,0.063,0.037,0.360,0.114,1303,-1.36,0.9048,-0.011,20.0,NaN
expr,en,0.605,-0.048,-0.115,0.9141,0.063,0.037,0.393,0.120,1303,-1.30,0.8571,-0.011,20.0,NaN
prior,l2,0.629,0.000,-0.275,1.0000,0.000,0.000,0.245,0.097,1303,NaN,NaN,NaN,NaN,NaN
prior,l1,0.629,0.000,-0.275,1.0000,0.000,0.000,0.245,0.097,1303,NaN,NaN,NaN,NaN,NaN
prior,en,0.629,0.000,-0.275,1.0000,0.000,0.000,0.245,0.097,1303,NaN,NaN,NaN,NaN,NaN
additive,l2,0.629,0.038,-0.210,0.1548,0.060,0.038,0.245,0.097,1303,0.77,0.1905,-0.013,20.0,measured_delta
additive,l1,0.602,0.013,-0.269,0.3686,0.056,0.036,0.270,0.102,1303,0.22,0.4762,0.002,20.0,measured_delta
additive,en,0.601,0.007,-0.266,0.4286,0.059,0.036,0.270,0.091,1303,0.10,0.4286,0.002,20.0,measured_delta
knn,l2,0.606,-0.023,-0.220,0.7433,0.059,0.037,0.289,0.113,1303,-0.02,0.4762,-0.021,20.0,NaN
knn,l1,0.617,-0.018,-0.245,0.7153,0.058,0.033,0.259,0.101,1303,-0.62,0.8095,0.006,20.0,NaN
knn,en,0.618,-0.013,-0.246,0.6344,0.058,0.035,0.250,0.101,1303,-0.46,0.8095,0.005,20.0,NaN
pca,l2,0.618,0.046,-0.199,0.1249,0.064,0.042,0.248,0.121,1303,0.64,0.2857,0.013,20.0,NaN
pca,l1,0.615,-0.011,-0.235,0.6044,0.066,0.038,0.245,0.102,1303,-0.23,0.5238,-0.001,20.0,NaN
pca,en,0.615,-0.007,-0.235,0.5654,0.065,0.038,0.245,0.102,1303,-0.14,0.5238,-0.001,20.0,NaN
nmf,l2,0.614,0.023,-0.218,0.2717,0.067,0.043,0.250,0.096,1303,0.69,0.2857,-0.013,20.0,NaN
nmf,l1,0.618,0.083,-0.187,0.0240,0.064,0.041,0.237,0.089,1303,1.73,0.0476,-0.009,20.0,NaN
nmf,en,0.619,0.084,-0.183,0.0210,0.069,0.041,0.259,0.100,1303,1.73,0.0952,-0.009,20.0,NaN
stack,l2,0.573,-0.005,-0.134,0.5884,0.063,0.037,0.298,0.111,1303,0.71,0.2381,-0.027,20.0,NaN
stack,l1,0.602,-0.026,-0.216,0.7373,0.060,0.038,0.277,0.108,1303,-0.50,0.6667,-0.004,20.0,NaN
stack,en,0.602,-0.053,-0.231,0.9161,0.064,0.037,0.269,0.101,1303,-1.12,0.9048,-0.003,20.0,NaN
base,l2,0.644,0.141,-0.010,0.0010,0.057,0.035,0.246,0.109,1303,2.94,0.0476,-0.005,20.0,NaN
base,l1,0.618,-0.020,-0.227,0.7413,0.053,0.032,0.284,0.110,1303,-0.44,0.6190,-0.002,20.0,NaN
base,en,0.622,-0.017,-0.233,0.6593,0.052,0.032,0.277,0.110,1303,-0.38,0.6667,0.001,20.0,NaN
aligned,l2,0.627,0.048,-0.070,0.0869,0.057,0.036,0.290,0.103,1303,1.40,0.1429,-0.016,20.0,NaN
aligned,l1,0.626,0.015,-0.151,0.3467,0.055,0.034,0.294,0.116,1303,0.18,0.3810,0.006,20.0,NaN
aligned,en,0.619,-0.013,-0.148,0.6603,0.059,0.035,0.278,0.114,1303,-0.32,0.6190,0.002,20.0,NaN
measured_delta,l2,0.629,0.038,-0.210,0.1548,0.060,0.038,0.245,0.097,1303,0.59,0.2857,0.007,20.0,additive
measured_delta,l1,0.602,0.013,-0.269,0.3686,0.056,0.036,0.270,0.102,1303,0.47,0.4286,-0.005,20.0,additive
measured_delta,en,0.601,0.007,-0.266,0.4286,0.059,0.036,0.270,0.091,1303,0.27,0.5714,-0.004,20.0,additive
expr_random,l2,0.627,-0.042,-0.276,0.8551,0.064,0.039,0.261,0.108,1303,NaN,NaN,NaN,NaN,NaN
expr_random,l1,0.629,0.021,-0.138,0.2807,0.063,0.038,0.275,0.116,1303,NaN,NaN,NaN,NaN,NaN
expr_random,en,0.631,0.026,-0.086,0.2468,0.062,0.038,0.314,0.108,1303,NaN,NaN,NaN,NaN,NaN
additive_random,l2,0.633,0.029,-0.193,0.2188,0.055,0.036,0.244,0.094,1303,NaN,NaN,NaN,NaN,NaN
additive_random,l1,0.625,-0.037,-0.107,0.8312,0.063,0.039,0.326,0.108,1303,NaN,NaN,NaN,NaN,NaN
additive_random,en,0.626,-0.045,-0.113,0.8701,0.062,0.039,0.328,0.109,1303,NaN,NaN,NaN,NaN,NaN
knn_random,l2,0.625,-0.020,-0.297,0.6933,0.066,0.039,0.265,0.098,1303,NaN,NaN,NaN,NaN,NaN
knn_random,l1,0.617,-0.030,-0.206,0.7542,0.058,0.037,0.264,0.113,1303,NaN,NaN,NaN,NaN,NaN
knn_random,en,0.617,-0.021,-0.205,0.7043,0.060,0.036,0.287,0.110,1303,NaN,NaN,NaN,NaN,NaN
pca_random,l2,0.628,-0.006,-0.253,0.5944,0.054,0.032,0.245,0.097,1303,NaN,NaN,NaN,NaN,NaN
pca_random,l1,0.618,-0.020,-0.284,0.7123,0.059,0.036,0.245,0.108,1303,NaN,NaN,NaN,NaN,NaN
pca_random,en,0.616,-0.013,-0.238,0.6563,0.060,0.036,0.245,0.108,1303,NaN,NaN,NaN,NaN,NaN
nmf_random,l2,0.624,-0.029,-0.244,0.8052,0.054,0.032,0.273,0.097,1303,NaN,NaN,NaN,NaN,NaN
nmf_random,l1,0.613,-0.021,-0.167,0.7243,0.060,0.036,0.256,0.100,1303,NaN,NaN,NaN,NaN,NaN
nmf_random,en,0.615,-0.004,-0.153,0.5325,0.060,0.035,0.256,0.100,1303,NaN,NaN,NaN,NaN,NaN
stack_random,l2,0.629,-0.058,-0.246,0.9391,0.068,0.039,0.266,0.114,1303,NaN,NaN,NaN,NaN,NaN
stack_random,l1,0.617,-0.042,-0.231,0.8721,0.063,0.039,0.277,0.120,1303,NaN,NaN,NaN,NaN,NaN
stack_random,en,0.618,-0.043,-0.260,0.8801,0.061,0.037,0.277,0.126,1303,NaN,NaN,NaN,NaN,NaN
base_random,l2,0.628,-0.044,-0.269,0.9071,0.059,0.035,0.252,0.108,1303,NaN,NaN,NaN,NaN,NaN
base_random,l1,0.614,-0.069,-0.217,0.9660,0.059,0.037,0.280,0.102,1303,NaN,NaN,NaN,NaN,NaN
base_random,en,0.616,-0.066,-0.213,0.9630,0.063,0.037,0.260,0.101,1303,NaN,NaN,NaN,NaN,NaN
aligned_random,l2,0.627,-0.058,-0.261,0.9690,0.049,0.031,0.245,0.097,1303,NaN,NaN,NaN,NaN,NaN
aligned_random,l1,0.614,-0.060,-0.212,0.9311,0.060,0.039,0.280,0.103,1303,NaN,NaN,NaN,NaN,NaN
aligned_random,en,0.614,-0.053,-0.202,0.9101,0.062,0.039,0.297,0.103,1303,NaN,NaN,NaN,NaN,NaN
measured_delta_random,l2,0.630,0.044,-0.233,0.1159,0.061,0.036,0.245,0.126,1303,NaN,NaN,NaN,NaN,NaN
measured_delta_random,l1,0.606,-0.057,-0.241,0.9550,0.056,0.034,0.272,0.104,1303,NaN,NaN,NaN,NaN,NaN
measured_delta_random,en,0.608,-0.035,-0.225,0.8661,0.056,0.033,0.272,0.103,1303,NaN,NaN,NaN,NaN,NaN
planted,l2,0.818,0.694,0.716,0.0010,0.047,0.029,0.056,0.016,1303,NaN,NaN,NaN,NaN,NaN
planted,l1,0.805,0.669,0.714,0.0010,0.048,0.029,0.056,0.016,1303,NaN,NaN,NaN,NaN,NaN
planted,en,0.806,0.671,0.712,0.0010,0.048,0.029,0.056,0.016,1303,NaN,NaN,NaN,NaN,NaN
