source,null_kind,metric,observed,null_mean,null_sd,null_p95,specific_lift,p,n_draws
additive,shuffle_all,de_overlap_accuracy,0.01699,0.00552,0.00037,0.0061,0.01146,0.00498,200
additive,within_drug,de_overlap_accuracy,0.01699,0.01702,0.00017,0.01732,-3e-05,0.57711,200
additive,shuffle_all,de_spearman_lfc,0.38944,0.16809,0.00756,0.17975,0.22136,0.00498,200
additive,within_drug,de_spearman_lfc,0.38944,0.39307,0.00056,0.39387,-0.00363,1.0,200
additive,shuffle_all,jaccard,0.00895,0.00284,0.00019,0.00314,0.00611,0.00498,200
additive,within_drug,jaccard,0.00895,0.00897,9e-05,0.00913,-2e-05,0.60199,200
additive,shuffle_all,pr_auc,0.01221,0.00562,0.00014,0.00588,0.00659,0.00498,200
additive,within_drug,pr_auc,0.01221,0.01226,1e-05,0.01228,-4e-05,1.0,200
knn,shuffle_all,de_overlap_accuracy,0.01393,0.00435,0.0003,0.00484,0.00958,0.00498,200
knn,within_drug,de_overlap_accuracy,0.01393,0.01421,0.00025,0.01463,-0.00027,0.85572,200
knn,shuffle_all,de_spearman_lfc,0.3939,0.16859,0.00755,0.18125,0.22531,0.00498,200
knn,within_drug,de_spearman_lfc,0.3939,0.39198,0.00186,0.39502,0.00192,0.14925,200
knn,shuffle_all,jaccard,0.00734,0.00223,0.00016,0.00249,0.00511,0.00498,200
knn,within_drug,jaccard,0.00734,0.00748,0.00013,0.00771,-0.00014,0.85075,200
knn,shuffle_all,pr_auc,0.01113,0.0053,0.00014,0.00555,0.00583,0.00498,200
knn,within_drug,pr_auc,0.01113,0.0112,6e-05,0.01129,-7e-05,0.89552,200
measured_delta,shuffle_all,de_overlap_accuracy,0.00274,0.00036,9e-05,0.00051,0.00238,0.00498,200
measured_delta,within_drug,de_overlap_accuracy,0.00274,0.00188,0.0001,0.00204,0.00087,0.00498,200
measured_delta,shuffle_all,de_spearman_lfc,0.45152,0.12899,0.00845,0.14305,0.32254,0.00498,200
measured_delta,within_drug,de_spearman_lfc,0.45152,0.32249,0.00585,0.33192,0.12904,0.00498,200
measured_delta,shuffle_all,jaccard,0.00142,0.00019,5e-05,0.00026,0.00124,0.00498,200
measured_delta,within_drug,jaccard,0.00142,0.00096,5e-05,0.00104,0.00046,0.00498,200
measured_delta,shuffle_all,pr_auc,0.00604,0.00395,5e-05,0.00404,0.00209,0.00498,200
measured_delta,within_drug,pr_auc,0.00604,0.00497,5e-05,0.00507,0.00107,0.00498,200
nmf,shuffle_all,de_overlap_accuracy,0.01164,0.00825,0.00111,0.01009,0.00339,0.00995,200
nmf,within_drug,de_overlap_accuracy,0.01164,0.02272,0.00169,0.02542,-0.01109,1.0,200
nmf,shuffle_all,de_spearman_lfc,0.38882,0.19119,0.01523,0.21588,0.19764,0.00498,200
nmf,within_drug,de_spearman_lfc,0.38882,0.37274,0.00939,0.38727,0.01608,0.04478,200
nmf,shuffle_all,jaccard,0.00678,0.00476,0.00087,0.00641,0.00203,0.0199,200
nmf,within_drug,jaccard,0.00678,0.01404,0.00144,0.0163,-0.00726,1.0,200
nmf,shuffle_all,pr_auc,0.02756,0.01673,0.00109,0.01854,0.01083,0.00498,200
nmf,within_drug,pr_auc,0.02756,0.03272,0.00133,0.03511,-0.00516,1.0,200
pca,shuffle_all,de_overlap_accuracy,0.01904,0.00787,0.00123,0.01012,0.01117,0.00498,200
pca,within_drug,de_overlap_accuracy,0.01904,0.02165,0.00167,0.02423,-0.00262,0.95025,200
pca,shuffle_all,de_spearman_lfc,0.37595,0.19182,0.01464,0.21742,0.18413,0.00498,200
pca,within_drug,de_spearman_lfc,0.37595,0.36225,0.00937,0.37901,0.0137,0.09453,200
pca,shuffle_all,jaccard,0.01213,0.00452,0.00095,0.00602,0.00761,0.00498,200
