line,drug,matched,landmark,bing,other,spearman,n_genes
A549,afatinib,observed,0.02604100766228415,0.03508034800118002,0.011140932202525194,,
A549,azd8055,observed,0.005276570906098667,0.0149211785609256,0.023255697797378495,,
A549,bicalutamide,observed,0.00022654424560075205,-0.004020218284860203,-0.03591101526503822,,
A549,bortezomib,observed,0.21764968548691932,0.139328021585522,0.05254291035181795,,
A549,crizotinib,observed,0.0012543244241876397,-0.005466675894937106,0.022290646601972924,,
A549,cytarabine,observed,0.06839702104062015,0.02336110926364294,-0.017216373214085423,,
A549,docetaxel,observed,0.002025418243094626,0.023990999877840914,0.02173096914559987,,
A549,erlotinib,observed,0.0507544369875845,0.008473328468028276,-0.0034701888949302227,,
A549,fulvestrant,observed,0.08411344391796738,0.026969359069012305,-0.01108652124666104,,
A549,gefitinib,observed,0.021931885555077517,-0.004743819051053726,-0.03158633620403134,,
A549,gemcitabine,observed,0.06060932783262784,0.02170419098913687,-0.00948707358364267,,
A549,irinotecan,observed,-0.038593862227859425,-0.04964221781661654,-0.045235542043102865,,
A549,methotrexate,observed,-0.011370267380679698,0.01829119328286629,0.03344108310426156,,
A549,olaparib,observed,-0.10457370967672777,-0.12827690638862432,-0.051648082677377645,,
A549,paclitaxel,observed,-0.010149160941135597,-0.024753683341344056,-0.007521688900271024,,
A549,palbociclib,observed,0.047453021481164204,0.025470972094824258,-0.004403200553478632,,
A549,temsirolimus,observed,0.018795900856753978,0.02465121589011462,-0.031369856111824204,,
HS578T,afatinib,observed,-0.022387057700532315,-0.04216140555241934,-0.0023473956862332486,,
HS578T,azd8055,observed,0.11910932427128,0.06338801358605507,-0.01856337983829332,,
HS578T,crizotinib,observed,-0.011414676309658046,-0.008099764850016174,-0.012647874085714411,,
HS578T,erlotinib,observed,-0.03871450169395953,-0.06467313839778198,-0.0527496029772988,,
HS578T,gefitinib,observed,-0.052955768095376644,-0.04896907538531248,-0.017556304683302413,,
HS578T,olaparib,observed,0.0011988028343225905,-0.008070381770557147,-0.020784288518208283,,
HS578T,palbociclib,observed,0.08898690600124284,0.042451852949337496,-0.01550299238488673,,
HS578T,trametinib,observed,0.2056322591918476,0.13185612502300903,0.025461777172572593,,
HT29,azd8055,observed,0.18227747166132763,0.08799949523220596,0.00598975093238704,,
HT29,bortezomib,observed,0.3993598432978605,0.2600056059872286,0.06305215051168632,,
HT29,crizotinib,observed,0.037683787252805696,0.04468450579100341,0.0448075021973132,,
HT29,fulvestrant,observed,-0.0095549367669404,0.019239193265490295,-0.014611467295674627,,
HT29,gemcitabine,observed,-0.021438782397501483,-0.03042135711905691,0.01346300774708727,,
HT29,olaparib,observed,-0.07190603654835868,-0.027890629909834506,0.05485145453919206,,
HT29,temsirolimus,observed,0.0659531213938031,0.05343831331006969,0.023560919867965213,,
A549,afatinib,landmark,,,,0.026,946.0
A549,afatinib,imputed_varmatched,,,,0.0338,946.0
A549,azd8055,landmark,,,,0.0053,946.0
A549,azd8055,imputed_varmatched,,,,0.0694,946.0
A549,bicalutamide,landmark,,,,0.0002,946.0
A549,bicalutamide,imputed_varmatched,,,,-0.0276,946.0
A549,bortezomib,landmark,,,,0.2176,946.0
A549,bortezomib,imputed_varmatched,,,,0.1598,946.0
A549,crizotinib,landmark,,,,0.0013,946.0
A549,crizotinib,imputed_varmatched,,,,0.0313,946.0
A549,cytarabine,landmark,,,,0.0684,946.0
A549,cytarabine,imputed_varmatched,,,,0.0454,946.0
A549,docetaxel,landmark,,,,0.002,946.0
A549,docetaxel,imputed_varmatched,,,,0.0409,946.0
A549,erlotinib,landmark,,,,0.0508,946.0
A549,erlotinib,imputed_varmatched,,,,-0.0738,946.0
A549,fulvestrant,landmark,,,,0.0841,946.0
A549,fulvestrant,imputed_varmatched,,,,0.0431,946.0
A549,gefitinib,landmark,,,,0.0219,946.0
A549,gefitinib,imputed_varmatched,,,,-0.0083,946.0
A549,gemcitabine,landmark,,,,0.0606,946.0
A549,gemcitabine,imputed_varmatched,,,,-0.0028,946.0
A549,irinotecan,landmark,,,,-0.0386,946.0
A549,irinotecan,imputed_varmatched,,,,-0.0829,946.0
A549,methotrexate,landmark,,,,-0.0114,946.0
A549,methotrexate,imputed_varmatched,,,,0.0606,946.0
A549,olaparib,landmark,,,,-0.1046,946.0
A549,olaparib,imputed_varmatched,,,,-0.1369,946.0
A549,paclitaxel,landmark,,,,-0.0101,946.0
A549,paclitaxel,imputed_varmatched,,,,-0.0881,946.0
A549,palbociclib,landmark,,,,0.0475,946.0
A549,palbociclib,imputed_varmatched,,,,0.0536,946.0
A549,temsirolimus,landmark,,,,0.0188,946.0
A549,temsirolimus,imputed_varmatched,,,,0.082,946.0
HS578T,afatinib,landmark,,,,-0.0224,946.0
HS578T,afatinib,imputed_varmatched,,,,-0.0289,946.0
HS578T,azd8055,landmark,,,,0.1191,946.0
HS578T,azd8055,imputed_varmatched,,,,0.1429,946.0
HS578T,crizotinib,landmark,,,,-0.0114,946.0
HS578T,crizotinib,imputed_varmatched,,,,-0.0555,946.0
HS578T,erlotinib,landmark,,,,-0.0387,946.0
HS578T,erlotinib,imputed_varmatched,,,,-0.0775,946.0
HS578T,gefitinib,landmark,,,,-0.053,946.0
HS578T,gefitinib,imputed_varmatched,,,,-0.0217,946.0
HS578T,olaparib,landmark,,,,0.0012,946.0
HS578T,olaparib,imputed_varmatched,,,,-0.0311,946.0
HS578T,palbociclib,landmark,,,,0.089,946.0
HS578T,palbociclib,imputed_varmatched,,,,0.0672,946.0
HS578T,trametinib,landmark,,,,0.2056,946.0
HS578T,trametinib,imputed_varmatched,,,,0.1165,946.0
HT29,azd8055,landmark,,,,0.1823,946.0
HT29,azd8055,imputed_varmatched,,,,0.171,946.0
HT29,bortezomib,landmark,,,,0.3994,946.0
HT29,bortezomib,imputed_varmatched,,,,0.3296,946.0
HT29,crizotinib,landmark,,,,0.0377,946.0
HT29,crizotinib,imputed_varmatched,,,,0.0629,946.0
HT29,fulvestrant,landmark,,,,-0.0096,946.0
HT29,fulvestrant,imputed_varmatched,,,,0.0406,946.0
HT29,gemcitabine,landmark,,,,-0.0214,946.0
HT29,gemcitabine,imputed_varmatched,,,,-0.0363,946.0
HT29,olaparib,landmark,,,,-0.0719,946.0
HT29,olaparib,imputed_varmatched,,,,0.0145,946.0
HT29,temsirolimus,landmark,,,,0.066,946.0
HT29,temsirolimus,imputed_varmatched,,,,0.0884,946.0
