line,drug,n_treated_wells,n_dmso_wells,n_landmark_genes,splithalf_rho_l1000,cross_platform_rho,sign_agree_all,sign_agree_top,median_abs_l1000,median_abs_tahoe,magnitude_ratio
A549,azd8055,3,60,946,-0.0161,0.0053,0.5074,0.49,0.7526,0.193,3.899
A549,olaparib,3,60,946,0.376,-0.1046,0.4577,0.4,0.5076,0.3225,1.574
A549,temsirolimus,3,60,946,0.5714,0.0188,0.5169,0.5,0.5199,0.1872,2.778
A549,bortezomib,3,60,946,0.7561,0.2176,0.5592,0.71,0.7454,0.4513,1.652
A549,gemcitabine,8,60,946,0.8007,0.0606,0.5201,0.5,0.6012,0.1912,3.145
HT29,azd8055,4,60,946,0.6773,0.1823,0.5486,0.65,0.4126,0.2126,1.941
HT29,olaparib,3,60,946,-0.0511,-0.0719,0.4968,0.28,0.2436,0.3314,0.735
HT29,temsirolimus,4,60,946,0.3421,0.066,0.5328,0.47,0.2499,0.2145,1.165
HT29,bortezomib,4,60,946,0.7415,0.3994,0.6438,0.84,0.6907,0.4723,1.462
HT29,gemcitabine,4,60,946,0.5239,-0.0214,0.4736,0.48,0.6024,0.1849,3.258
A549,docetaxel,6,60,946,0.7745,0.002,0.5042,0.56,0.7757,0.2056,3.772
A549,bicalutamide,6,60,946,0.7609,0.0002,0.4852,0.47,0.762,0.1353,5.633
A549,irinotecan,6,60,946,0.8053,-0.0386,0.4841,0.52,0.7874,0.1772,4.444
A549,cytarabine,3,60,946,0.6688,0.0684,0.519,0.5,0.7607,0.1241,6.131
A549,methotrexate,3,60,946,0.6083,-0.0114,0.4979,0.41,0.6947,0.1607,4.324
A549,afatinib,3,60,946,0.6986,0.026,0.5032,0.55,0.8697,0.0947,9.18
A549,crizotinib,8,60,946,0.7157,0.0013,0.4873,0.5,0.754,0.1811,4.164
A549,gefitinib,6,60,946,0.8404,0.0219,0.5222,0.52,0.9797,0.1476,6.639
A549,palbociclib,3,60,946,0.5741,0.0475,0.5106,0.62,0.9159,0.1882,4.868
A549,erlotinib,3,60,946,0.5427,0.0508,0.5032,0.49,0.9676,0.1625,5.955
A549,fulvestrant,8,60,946,0.6632,0.0841,0.5338,0.56,0.5709,0.1457,3.917
A549,paclitaxel,6,60,946,0.8294,-0.0101,0.5032,0.42,0.8189,0.192,4.265
HT29,fulvestrant,8,60,946,0.8338,-0.0096,0.5148,0.56,0.5097,0.1451,3.512
HS578T,azd8055,8,60,946,0.5822,0.1191,0.5264,0.56,0.3786,0.1972,1.92
HS578T,crizotinib,8,60,946,0.6597,-0.0114,0.4736,0.47,0.2875,0.1876,1.532
HS578T,palbociclib,8,60,946,0.5031,0.089,0.5254,0.58,0.2475,0.1991,1.243
HS578T,erlotinib,8,60,946,0.3224,-0.0387,0.4799,0.46,0.2658,0.1551,1.714
HS578T,gefitinib,8,60,946,0.3049,-0.053,0.4641,0.52,0.2122,0.1341,1.583
HS578T,afatinib,8,60,946,0.4036,-0.0224,0.5074,0.57,0.2283,0.0949,2.407
HS578T,trametinib,8,60,946,0.3375,0.2056,0.5592,0.7,0.3385,0.1656,2.044
HS578T,olaparib,8,60,946,0.3675,0.0012,0.4958,0.54,0.2399,0.1642,1.462
HT29,crizotinib,8,60,946,0.7887,0.0377,0.5444,0.67,0.7188,0.1919,3.745
