source,arm,n_pairs,mean_rho,sd_rho,null_mean,lift_over_null,p_vs_null,n_null_draws,panel_size,n_genes_scored
knn,bulk_target,1408,0.4017,0.1333,0.147,0.2548,0.0005,200,8759,8759
knn,cross_platform,950,0.0265,0.0637,0.0118,0.0146,0.0005,200,8759,8759
knn,in_platform,1600,0.4059,0.1323,0.1468,0.2591,0.0005,200,8759,8759
nmf,bulk_target,1408,0.3575,0.1303,0.1283,0.2292,0.0005,200,8759,8759
nmf,cross_platform,950,0.0268,0.0676,0.0189,0.0078,0.0005,200,8759,8759
nmf,in_platform,1600,0.3748,0.1318,0.1245,0.2503,0.0005,200,8759,8759
observed_delta,bulk_target,1408,0.3979,0.1299,0.1506,0.2473,0.0005,200,8759,8759
observed_delta,cross_platform,950,0.0245,0.0628,0.0136,0.0109,0.0005,200,8759,8759
observed_delta,in_platform,1600,0.4034,0.1292,0.152,0.2514,0.0005,200,8759,8759
pca,bulk_target,1408,0.1065,0.1178,0.0309,0.0756,0.0005,200,8759,8759
pca,cross_platform,950,0.0351,0.0741,0.0276,0.0075,0.001,200,8759,8759
pca,in_platform,1600,0.2236,0.1662,0.0788,0.1448,0.0005,200,8759,8759
planted,bulk_target,1408,0.9458,0.0778,-0.0002,0.946,0.0005,200,8759,8759
planted,cross_platform,950,0.4233,0.2541,-0.0026,0.4258,0.0005,200,8759,8759
planted,in_platform,1600,0.9537,0.0698,0.0007,0.953,0.0005,200,8759,8759
prior,bulk_target,1408,0.3979,0.1299,0.1506,0.2473,0.0005,200,8759,8759
prior,cross_platform,950,0.0245,0.0628,0.0136,0.0109,0.0005,200,8759,8759
prior,in_platform,1600,0.4034,0.1292,0.152,0.2514,0.0005,200,8759,8759
shuffled,bulk_target,1408,0.1021,0.124,0.0305,0.0716,0.0005,200,8759,8759
shuffled,cross_platform,950,0.0335,0.0723,0.0308,0.0027,0.1369,200,8759,8759
shuffled,in_platform,1600,0.2041,0.1533,0.0906,0.1135,0.0005,200,8759,8759
