source,method,global,interaction,perdrug,p_label,null_p95,null_sd,regret@1,regret@3,n,z_random,p_random,random_mean,n_random_draws
aligned,en,0.614,0.001,-0.139,0.4855,0.058,0.036,0.287,0.097,1249.0,-0.04,0.4762,0.003,20.0
aligned,l1,0.62,0.025,-0.152,0.2458,0.055,0.034,0.281,0.099,1249.0,0.69,0.2857,0.0,20.0
aligned,l2,0.617,0.043,-0.112,0.1249,0.061,0.037,0.279,0.091,1249.0,0.47,0.2857,0.019,20.0
aligned_random,en,0.602,-0.032,-0.207,0.7962,0.06,0.037,0.3,0.105,1249.0,,,,
aligned_random,l1,0.601,-0.039,-0.206,0.8462,0.06,0.037,0.301,0.105,1249.0,,,,
aligned_random,l2,0.617,-0.067,-0.251,0.985,0.05,0.032,0.26,0.097,1249.0,,,,
base,en,0.609,-0.049,-0.238,0.9401,0.056,0.033,0.27,0.102,1249.0,-0.56,0.7143,-0.018,20.0
base,l1,0.61,-0.046,-0.238,0.9441,0.054,0.032,0.27,0.111,1249.0,-0.57,0.7143,-0.012,20.0
base,l2,0.636,0.137,0.007,0.001,0.057,0.036,0.256,0.114,1249.0,2.66,0.0476,-0.009,20.0
base_random,en,0.612,-0.018,-0.224,0.7033,0.057,0.034,0.263,0.104,1249.0,,,,
base_random,l1,0.611,-0.029,-0.221,0.7892,0.062,0.037,0.263,0.096,1249.0,,,,
base_random,l2,0.619,-0.048,-0.277,0.9171,0.059,0.035,0.259,0.115,1249.0,,,,
expr,en,0.607,0.06,-0.175,0.0709,0.067,0.039,0.307,0.122,1249.0,1.39,0.1429,-0.01,20.0
expr,l1,0.605,0.035,-0.205,0.1668,0.058,0.036,0.332,0.129,1249.0,0.95,0.2381,-0.012,20.0
expr,l2,0.552,0.007,-0.146,0.4206,0.06,0.035,0.318,0.116,1249.0,0.47,0.3333,-0.021,20.0
expr_random,en,0.615,0.062,-0.21,0.0509,0.062,0.039,0.269,0.094,1249.0,,,,
expr_random,l1,0.615,0.063,-0.202,0.036,0.06,0.039,0.269,0.101,1249.0,,,,
expr_random,l2,0.617,-0.056,-0.296,0.8941,0.071,0.042,0.274,0.088,1249.0,,,,
knn,en,0.607,0.014,-0.217,0.3447,0.059,0.036,0.271,0.109,1249.0,0.27,0.381,0.001,20.0
