source,method,interaction,p_label,null_p95,z_random,p_random,clears_uncorrected,clears_bonferroni
aligned,en,0.001,0.4855,0.058,-0.04,0.4762,,
aligned,l1,0.025,0.2458,0.055,0.69,0.2857,,
aligned,l2,0.043,0.1249,0.061,0.47,0.2857,,
base,en,-0.049,0.9401,0.056,-0.56,0.7143,,
base,l1,-0.046,0.9441,0.054,-0.57,0.7143,,
base,l2,0.137,0.001,0.057,2.66,0.0476,yes,yes
expr,en,0.06,0.0709,0.067,1.39,0.1429,,
expr,l1,0.035,0.1668,0.058,0.95,0.2381,,
expr,l2,0.007,0.4206,0.06,0.47,0.3333,,
knn,en,0.014,0.3447,0.059,0.27,0.381,,
knn,l1,0.013,0.3576,0.059,0.13,0.381,,
knn,l2,-0.009,0.5774,0.068,0.25,0.381,,
measured_delta,en,0.015,0.3487,0.063,0.06,0.4762,,
measured_delta,l1,-0.026,0.7453,0.06,-0.9,0.7619,,
measured_delta,l2,0.071,0.019,0.059,1.56,0.0952,yes,
nmf,en,0.038,0.1259,0.054,1.39,0.0952,,
nmf,l1,0.056,0.044,0.053,2.18,0.0476,yes,
nmf,l2,0.031,0.2038,0.057,0.94,0.2381,,
observed_delta,en,0.042,0.1259,0.06,0.77,0.1905,,
observed_delta,l1,0.083,0.018,0.068,1.54,0.0952,yes,
observed_delta,l2,0.0,0.4885,0.071,0.16,0.4762,,
pca,en,-0.032,0.8292,0.058,-0.97,0.9048,,
pca,l1,-0.057,0.958,0.057,-1.39,0.9524,,
pca,l2,0.015,0.3566,0.059,0.54,0.2857,,
planted,en,0.726,0.001,0.048,,,yes,yes
planted,l1,0.727,0.001,0.048,,,yes,yes
planted,l2,0.719,0.001,0.049,,,yes,yes
prior,en,0.0,1.0,0.0,,,,
prior,l1,0.0,1.0,0.0,,,,
prior,l2,0.0,1.0,0.0,,,,
stack_cytokine,en,0.012,0.3816,0.062,0.26,0.4286,,
stack_cytokine,l1,0.016,0.3347,0.062,0.35,0.3333,,
stack_cytokine,l2,0.04,0.1419,0.059,0.83,0.1429,,
stack_drug_aligned,en,0.018,0.3157,0.062,0.21,0.619,,
stack_drug_aligned,l1,0.009,0.4176,0.06,-0.02,0.5714,,
stack_drug_aligned,l2,-0.053,0.9241,0.061,-0.96,0.8095,,
