source,method,global,interaction,p_label,regret@1,regret@3,n
additive,HALLMARK_P53_PATHWAY,0.007,-0.116,0.84,0.647,0.19,150
additive,HALLMARK_APOPTOSIS,0.048,-0.09,0.726,0.638,0.105,150
additive,HALLMARK_E2F_TARGETS,0.001,0.051,0.563,0.346,0.239,150
additive,HALLMARK_G2M_CHECKPOINT,-0.02,0.082,0.34,0.346,0.3,150
additive,l1,-0.101,-0.095,0.974,0.647,0.277,150
additive,l2,-0.088,-0.089,0.952,0.647,0.345,150
pca,HALLMARK_P53_PATHWAY,-0.138,-0.098,0.776,0.608,0.19,150
pca,HALLMARK_APOPTOSIS,-0.088,-0.083,0.708,0.638,0.105,150
pca,HALLMARK_E2F_TARGETS,-0.068,0.038,0.622,0.562,0.239,150
pca,HALLMARK_G2M_CHECKPOINT,-0.101,0.074,0.379,0.562,0.3,150
pca,l1,-0.011,-0.038,0.858,0.647,0.265,150
pca,l2,0.012,-0.097,0.965,0.647,0.345,150
nmf,HALLMARK_P53_PATHWAY,-0.014,-0.083,0.739,0.608,0.19,150
nmf,HALLMARK_APOPTOSIS,-0.043,-0.103,0.814,0.638,0.118,150
nmf,HALLMARK_E2F_TARGETS,0.103,0.044,0.607,0.562,0.239,150
nmf,HALLMARK_G2M_CHECKPOINT,0.11,0.072,0.399,0.562,0.3,150
nmf,l1,0.101,-0.01,0.752,0.647,0.265,150
nmf,l2,0.073,-0.093,0.961,0.647,0.315,150
stack,HALLMARK_P53_PATHWAY,-0.093,-0.098,0.872,0.518,0.154,150
stack,HALLMARK_APOPTOSIS,0.045,-0.031,0.649,0.473,0.181,150
stack,HALLMARK_E2F_TARGETS,-0.029,0.178,0.03,0.426,0.192,150
stack,HALLMARK_G2M_CHECKPOINT,0.0,0.176,0.025,0.339,0.168,150
stack,l1,-0.001,0.107,0.123,0.488,0.174,150
stack,l2,0.046,0.015,0.422,0.453,0.142,150
additive_random,l1,,-0.022,0.589,0.232,0.084,150
additive_random,l2,0.018,-0.097,0.806,0.601,0.316,150
pca_random,l1,,-0.022,0.589,0.232,0.084,150
pca_random,l2,-0.017,0.198,0.013,0.523,0.207,150
nmf_random,l1,,-0.022,0.589,0.232,0.084,150
nmf_random,l2,-0.199,-0.243,0.991,0.586,0.275,150
stack_random,l1,,-0.022,0.589,0.386,0.111,150
stack_random,l2,-0.003,-0.054,0.756,0.491,0.182,150
target_gene,direct,0.094,0.01,0.282,0.451,0.211,237
planted,l1,0.702,0.536,0.0,0.185,0.032,259
planted,l2,0.691,0.51,0.0,0.189,0.049,259
