source,method,global,interaction,p_label,regret@1,regret@3,n
additive,hallmark,-0.005,0.028,0.612,0.616,0.275,150
additive,szalai,-0.164,-0.11,0.967,0.681,0.405,150
additive,xgboost,0.007,-0.086,0.958,0.647,0.307,150
pca,hallmark,-0.018,0.045,0.38,0.604,0.238,107
pca,szalai,0.213,-0.119,0.966,0.707,0.357,107
pca,xgboost,0.181,0.052,0.35,0.712,0.317,107
nmf,hallmark,0.052,0.061,0.394,0.619,0.261,107
nmf,szalai,0.029,-0.104,0.951,0.707,0.37,107
nmf,xgboost,-0.041,0.089,0.252,0.661,0.263,107
stack,hallmark,0.076,0.203,0.025,0.394,0.127,145
stack,szalai,-0.12,-0.054,0.718,0.438,0.179,145
stack,xgboost,-0.196,0.095,0.169,0.493,0.363,145
