source,method,global,interaction,p_label,regret@1,regret@3,n
additive,HALLMARK_P53_PATHWAY,0.136,0.074,0.621,0.312,0.033,25
additive,HALLMARK_APOPTOSIS,0.21,0.074,0.621,0.212,0.114,25
additive,HALLMARK_E2F_TARGETS,0.174,0.037,0.423,0.383,0.175,25
additive,HALLMARK_G2M_CHECKPOINT,0.122,0.37,0.093,0.383,0.147,25
additive,l1,-0.019,-0.296,0.85,0.533,0.228,25
additive,l2,-0.061,-0.407,0.959,0.533,0.316,25
pca,HALLMARK_P53_PATHWAY,-0.421,0.148,0.313,0.36,0.033,25
pca,HALLMARK_APOPTOSIS,-0.301,0.074,0.621,0.36,0.033,25
pca,HALLMARK_E2F_TARGETS,0.399,0.111,0.216,0.633,0.175,25
pca,HALLMARK_G2M_CHECKPOINT,0.449,0.37,0.093,0.633,0.175,25
pca,l1,0.487,-0.074,0.733,0.257,0.175,25
pca,l2,0.419,-0.37,0.918,0.533,0.316,25
nmf,HALLMARK_P53_PATHWAY,-0.021,0.148,0.313,0.36,0.033,25
nmf,HALLMARK_APOPTOSIS,0.003,0.074,0.621,0.36,0.033,25
nmf,HALLMARK_E2F_TARGETS,0.421,0.037,0.423,0.383,0.175,25
nmf,HALLMARK_G2M_CHECKPOINT,0.415,0.111,0.216,0.383,0.175,25
nmf,l1,0.412,-0.074,0.733,0.312,0.175,25
nmf,l2,0.363,-0.296,0.85,0.533,0.228,25
stack,HALLMARK_P53_PATHWAY,0.594,0.889,0.005,0.156,0.051,25
stack,HALLMARK_APOPTOSIS,0.31,0.926,0.002,0.326,0.018,25
stack,HALLMARK_E2F_TARGETS,-0.495,-0.778,0.99,0.312,0.169,25
stack,HALLMARK_G2M_CHECKPOINT,-0.505,-0.815,0.988,0.312,0.169,25
stack,l1,-0.365,0.333,0.124,0.398,0.18,25
stack,l2,-0.23,-0.333,0.769,0.508,0.239,25
additive_random,l1,,0.086,0.778,0.279,0.03,25
additive_random,l2,-0.083,-0.148,0.517,0.222,0.059,25
pca_random,l1,,0.086,0.778,0.279,0.03,25
pca_random,l2,-0.465,-0.0,0.636,0.75,0.337,25
nmf_random,l1,,0.086,0.778,0.279,0.03,25
nmf_random,l2,0.143,0.556,0.06,0.106,0.03,25
stack_random,l1,,0.086,0.778,0.232,0.033,25
stack_random,l2,-0.056,0.519,0.117,0.571,0.0,25
target_gene,direct,0.094,0.01,0.282,0.451,0.211,237
planted,l1,0.702,0.536,0.0,0.185,0.032,259
planted,l2,0.691,0.51,0.0,0.189,0.049,259
