gene_set,n_pairs,mde,observed
all,10,0.0833,False
all,19,0.0757,False
all,39,0.067,False
all,77,0.0587,False
all,153,0.0541,False
all,304,0.0506,False
all,602,0.0483,False
all,1192,0.047,False
all,2361,0.0457,False
all,4675,0.045,False
all,9257,0.0444,False
all,18329,0.044,True
responder,10,0.3181,False
responder,19,0.2808,False
responder,38,0.2509,False
responder,75,0.2289,False
responder,148,0.2149,False
responder,291,0.2049,False
responder,571,0.1974,False
responder,1121,0.1912,False
responder,2201,0.188,False
responder,4320,0.1855,False
responder,8480,0.1834,False
responder,16644,0.1819,True
