stratum,r,gene_set
any_pair,0.0699,all
any_pair,-0.0114,all
any_pair,0.038,all
any_pair,0.0845,all
any_pair,0.0728,all
any_pair,0.0265,all
any_pair,0.0009,all
any_pair,0.0371,all
any_pair,0.0287,all
any_pair,0.0784,all
any_pair,0.0274,all
any_pair,0.0777,all
any_pair,0.0228,all
any_pair,0.0402,all
any_pair,0.0172,all
any_pair,0.0703,all
any_pair,0.0809,all
any_pair,0.0262,all
any_pair,0.0274,all
any_pair,0.002,all
any_pair,0.0151,all
any_pair,0.0519,all
any_pair,0.0617,all
any_pair,0.0392,all
any_pair,0.0393,all
any_pair,0.014,all
any_pair,0.0566,all
any_pair,0.0008,all
any_pair,0.0675,all
any_pair,-0.0231,all
any_pair,0.0578,all
any_pair,0.0241,all
any_pair,0.0742,all
any_pair,0.0492,all
any_pair,-0.0004,all
any_pair,0.0335,all
any_pair,0.0315,all
any_pair,0.0808,all
any_pair,0.0301,all
any_pair,0.0167,all
any_pair,0.009,all
any_pair,0.0863,all
any_pair,0.0289,all
any_pair,0.0036,all
any_pair,0.0283,all
any_pair,0.0545,all
any_pair,0.052,all
any_pair,0.0324,all
any_pair,0.0103,all
any_pair,0.0656,all
any_pair,0.0412,all
any_pair,0.0327,all
any_pair,0.0209,all
any_pair,0.0363,all
any_pair,0.014,all
any_pair,0.0553,all
any_pair,0.0469,all
any_pair,0.0751,all
any_pair,0.0416,all
any_pair,0.0516,all
any_pair,0.0674,all
any_pair,0.06,all
any_pair,0.1808,all
any_pair,0.0052,all
any_pair,0.0866,all
any_pair,0.0368,all
any_pair,0.0452,all
any_pair,0.0369,all
any_pair,0.038,all
any_pair,0.0109,all
any_pair,0.0364,all
any_pair,0.0501,all
any_pair,-0.0065,all
any_pair,0.0332,all
any_pair,0.017,all
any_pair,0.0491,all
any_pair,0.0334,all
any_pair,0.0655,all
any_pair,0.0389,all
any_pair,0.0193,all
any_pair,0.0676,all
any_pair,0.0538,all
any_pair,0.0442,all
any_pair,0.0954,all
any_pair,0.0381,all
any_pair,0.0339,all
any_pair,0.1122,all
any_pair,0.0133,all
any_pair,0.0562,all
any_pair,0.0064,all
any_pair,0.064,all
any_pair,0.0706,all
any_pair,0.0057,all
any_pair,0.0439,all
any_pair,0.0545,all
any_pair,0.0468,all
any_pair,0.0251,all
any_pair,0.0151,all
any_pair,0.0637,all
any_pair,0.0383,all
any_pair,0.0688,all
any_pair,0.0697,all
any_pair,0.015,all
any_pair,0.0739,all
any_pair,0.0477,all
any_pair,0.0369,all
any_pair,0.0636,all
any_pair,0.0313,all
any_pair,0.0185,all
any_pair,0.0525,all
any_pair,0.0667,all
any_pair,0.0346,all
any_pair,-0.0194,all
any_pair,0.0908,all
any_pair,0.0561,all
any_pair,0.0223,all
any_pair,0.0108,all
any_pair,0.0416,all
any_pair,0.0899,all
any_pair,0.0198,all
any_pair,0.0468,all
any_pair,0.0065,all
any_pair,0.0737,all
any_pair,0.0236,all
any_pair,0.0005,all
any_pair,0.0566,all
any_pair,0.0236,all
any_pair,0.0137,all
any_pair,0.0745,all
any_pair,0.0463,all
any_pair,0.0486,all
any_pair,0.0477,all
any_pair,0.0528,all
any_pair,0.0251,all
any_pair,0.0327,all
any_pair,0.0647,all
any_pair,0.0561,all
any_pair,0.0276,all
any_pair,0.0142,all
any_pair,0.0503,all
any_pair,0.0233,all
any_pair,0.0963,all
any_pair,0.0122,all
any_pair,0.1088,all
any_pair,0.0002,all
any_pair,0.0746,all
any_pair,0.0188,all
any_pair,0.0527,all
any_pair,0.068,all
any_pair,0.0578,all
any_pair,0.0519,all
any_pair,0.038,all
any_pair,-0.0051,all
any_pair,0.0531,all
any_pair,0.0387,all
any_pair,0.0252,all
any_pair,0.081,all
any_pair,0.0467,all
any_pair,0.0289,all
any_pair,0.051,all
any_pair,0.0254,all
any_pair,0.0856,all
any_pair,0.0868,all
any_pair,-0.011,all
any_pair,0.0191,all
any_pair,0.0489,all
any_pair,0.0454,all
any_pair,-0.0009,all
any_pair,0.051,all
any_pair,-0.0031,all
any_pair,-0.023,all
any_pair,0.0289,all
any_pair,0.0477,all
any_pair,0.0138,all
any_pair,0.0129,all
any_pair,0.0824,all
any_pair,0.0133,all
any_pair,0.0132,all
any_pair,0.0498,all
any_pair,0.0472,all
any_pair,0.0527,all
any_pair,0.0353,all
any_pair,0.0525,all
any_pair,0.0416,all
any_pair,-0.0243,all
any_pair,0.0422,all
any_pair,0.0576,all
any_pair,0.0278,all
any_pair,0.0615,all
any_pair,-0.0067,all
any_pair,0.0695,all
any_pair,0.0564,all
any_pair,0.0491,all
any_pair,0.0263,all
any_pair,0.0519,all
any_pair,0.0438,all
any_pair,0.0709,all
any_pair,0.0275,all
any_pair,0.0252,all
any_pair,0.071,all
any_pair,0.0253,all
any_pair,0.0207,all
any_pair,-0.0114,all
any_pair,0.0508,all
any_pair,0.0505,all
any_pair,0.0387,all
any_pair,0.0125,all
any_pair,0.0287,all
any_pair,0.0157,all
any_pair,0.0444,all
any_pair,0.0423,all
any_pair,0.0093,all
any_pair,0.0371,all
any_pair,0.0122,all
any_pair,0.0573,all
any_pair,0.1075,all
any_pair,0.041,all
any_pair,0.0284,all
any_pair,0.0362,all
any_pair,0.0463,all
any_pair,0.0123,all
any_pair,0.0431,all
any_pair,0.0475,all
any_pair,0.0168,all
any_pair,0.0515,all
any_pair,0.0988,all
any_pair,0.0607,all
any_pair,0.0247,all
any_pair,0.0038,all
any_pair,0.0955,all
any_pair,0.0389,all
any_pair,0.0402,all
any_pair,0.0133,all
any_pair,0.0199,all
any_pair,0.1036,all
any_pair,0.0266,all
any_pair,0.0223,all
any_pair,0.0367,all
any_pair,0.0987,all
any_pair,0.0726,all
any_pair,0.0388,all
any_pair,0.025,all
any_pair,0.0271,all
any_pair,0.0233,all
any_pair,0.022,all
any_pair,0.0644,all
any_pair,0.0027,all
any_pair,0.0989,all
any_pair,0.0547,all
any_pair,0.0576,all
any_pair,-0.0013,all
any_pair,0.0523,all
any_pair,0.0353,all
any_pair,0.0452,all
any_pair,0.0145,all
any_pair,0.0417,all
any_pair,0.0131,all
any_pair,0.0846,all
any_pair,0.0451,all
any_pair,0.0081,all
any_pair,0.0355,all
any_pair,0.0464,all
any_pair,0.0812,all
any_pair,0.0525,all
any_pair,0.0615,all
any_pair,0.0992,all
any_pair,0.0449,all
any_pair,0.0389,all
any_pair,0.0181,all
any_pair,0.0603,all
any_pair,0.004,all
any_pair,0.0323,all
any_pair,0.0066,all
any_pair,-0.0063,all
any_pair,0.0197,all
any_pair,0.0185,all
any_pair,0.043,all
any_pair,0.0447,all
any_pair,-0.0071,all
any_pair,0.0561,all
any_pair,0.0207,all
any_pair,0.052,all
any_pair,0.0749,all
any_pair,0.0595,all
any_pair,0.0481,all
any_pair,0.1403,all
any_pair,0.0487,all
any_pair,0.0734,all
any_pair,0.0295,all
any_pair,0.1279,all
any_pair,0.1645,all
any_pair,0.0274,all
any_pair,0.0412,all
any_pair,0.0163,all
any_pair,0.0143,all
any_pair,0.0302,all
any_pair,0.0012,all
any_pair,0.0522,all
any_pair,0.0303,all
any_pair,0.0119,all
any_pair,0.064,all
any_pair,0.0387,all
any_pair,0.0194,all
any_pair,0.0349,all
any_pair,0.0168,all
any_pair,0.0141,all
any_pair,0.043,all
any_pair,0.0897,all
any_pair,0.0331,all
any_pair,0.1132,all
any_pair,0.0107,all
any_pair,0.05,all
any_pair,0.075,all
any_pair,0.0552,all
any_pair,0.0626,all
any_pair,0.0621,all
any_pair,0.0333,all
any_pair,0.0065,all
any_pair,0.02,all
any_pair,0.0624,all
any_pair,0.0243,all
any_pair,0.0946,all
any_pair,0.0296,all
any_pair,0.0231,all
any_pair,0.0633,all
any_pair,0.0201,all
any_pair,0.0442,all
any_pair,0.0497,all
any_pair,-0.0005,all
any_pair,0.0265,all
any_pair,0.01,all
any_pair,0.0336,all
any_pair,0.0013,all
any_pair,0.0368,all
any_pair,0.0586,all
any_pair,0.0243,all
any_pair,0.0642,all
any_pair,0.0971,all
any_pair,0.0256,all
any_pair,0.0729,all
any_pair,0.0499,all
any_pair,0.041,all
any_pair,0.0408,all
any_pair,0.0216,all
any_pair,0.0944,all
any_pair,0.0551,all
any_pair,0.1246,all
any_pair,0.0507,all
any_pair,0.0095,all
any_pair,0.0514,all
any_pair,0.0273,all
any_pair,0.0239,all
any_pair,0.0622,all
any_pair,0.0203,all
any_pair,0.0307,all
any_pair,0.0343,all
any_pair,0.0548,all
any_pair,0.0273,all
any_pair,0.017,all
any_pair,0.0078,all
any_pair,0.0788,all
any_pair,0.0555,all
any_pair,-0.0101,all
any_pair,0.0445,all
any_pair,0.0676,all
any_pair,0.0506,all
any_pair,0.1004,all
any_pair,0.065,all
any_pair,0.068,all
any_pair,0.0709,all
any_pair,0.0083,all
any_pair,0.0595,all
any_pair,0.0927,all
any_pair,0.0206,all
any_pair,0.0877,all
any_pair,-0.0153,all
any_pair,0.0305,all
any_pair,-0.0019,all
any_pair,0.0164,all
any_pair,0.0391,all
any_pair,0.0059,all
any_pair,0.0136,all
any_pair,0.1151,all
any_pair,0.0304,all
any_pair,0.0195,all
any_pair,0.0497,all
any_pair,0.0444,all
any_pair,0.0055,all
any_pair,0.0057,all
any_pair,0.0167,all
any_pair,0.0479,all
any_pair,0.0175,all
any_pair,0.0495,all
any_pair,0.0638,all
any_pair,0.08,all
any_pair,0.0504,all
any_pair,0.0822,all
any_pair,-0.0076,all
any_pair,0.0393,all
any_pair,0.042,all
any_pair,0.0644,all
any_pair,0.0643,all
any_pair,0.0247,all
any_pair,0.0331,all
any_pair,0.0423,all
any_pair,0.0491,all
any_pair,0.0444,all
any_pair,0.0424,all
any_pair,0.0591,all
any_pair,0.0392,all
any_pair,0.0648,all
any_pair,0.0342,all
any_pair,0.0151,all
any_pair,0.0484,all
any_pair,0.0346,all
any_pair,0.0728,all
any_pair,0.0285,all
any_pair,0.0455,all
any_pair,-0.006,all
any_pair,-0.0106,all
any_pair,0.052,all
any_pair,0.0199,all
any_pair,0.0648,all
any_pair,0.0484,all
any_pair,0.0436,all
any_pair,0.0552,all
any_pair,0.0443,all
any_pair,0.0821,all
any_pair,0.0243,all
any_pair,0.0266,all
any_pair,0.0631,all
any_pair,0.0044,all
any_pair,0.0236,all
any_pair,0.0343,all
any_pair,0.0412,all
any_pair,0.043,all
any_pair,0.0603,all
any_pair,0.0451,all
any_pair,-0.0196,all
any_pair,0.0196,all
any_pair,0.0162,all
any_pair,0.0557,all
any_pair,0.0033,all
any_pair,0.0188,all
any_pair,0.0191,all
any_pair,0.0513,all
any_pair,0.0449,all
any_pair,0.0507,all
any_pair,0.0135,all
any_pair,0.0352,all
any_pair,0.0644,all
any_pair,0.067,all
any_pair,-0.0053,all
any_pair,0.0539,all
any_pair,-0.0038,all
any_pair,0.0277,all
any_pair,0.0213,all
any_pair,0.0701,all
any_pair,-0.0055,all
any_pair,0.045,all
any_pair,0.017,all
any_pair,0.0306,all
any_pair,0.0599,all
any_pair,0.0345,all
any_pair,0.0061,all
any_pair,0.048,all
any_pair,0.065,all
