gene,n_pairs,r
ATP6V1G1P2,20,0.7883
7SK,18303,0.7764
RN7SKP255,15955,0.7282
TALAM1,18329,0.723
MTATP6P1,18294,0.7078
CCL21,42,0.7028
KDM4F,40,0.7008
KRT19P3,20,0.6974
VENTXP3,46,0.6753
ENSG00000289901,17791,0.6622
Y_RNA-592,41,0.6619
ENSG00000259001,17674,0.6489
MT-ND4L,18152,0.6464
H1-4,17882,0.6358
OR13C4,29,0.6228
RN7SKP71,17057,0.6216
MAGED4B,48,0.6188
MT-RNR1,18329,0.6179
MT-ND1,18329,0.6169
MT-RNR2,18329,0.6116
PLEC,18326,0.6108
MT-CO2,18265,0.6011
MT-CO1,18329,0.5825
ENSG00000266775,38,0.5804
RNU4-2,17743,0.5766
RPL3,18305,0.5751
ENSG00000248716,80,0.572
ENSG00000221639,37,0.5707
ZSCAN5C,94,0.562
H2AC20,17580,0.5611
MT-ND6,18277,0.5564
ENSG00000289293,17470,0.5558
ENSG00000254131,26,0.5546
RPS18,18201,0.5499
ENSG00000265644,71,0.5487
FLNA,18324,0.5476
ENSG00000278862,108,0.5476
ENSG00000286731,60,0.5472
ENSG00000268823,58,0.5445
MYH9,18329,0.5414
ENSG00000241776,64,0.541
RPL18A,17584,0.5397
ENSG00000255556,109,0.5355
ENSG00000234115,37,0.5347
ENSG00000278996,17781,0.531
ENSG00000288108,87,0.5244
MALAT1,18329,0.5238
H1-2,17904,0.5203
H4C5,16931,0.5201
PRAMEF1,61,0.5173
MT-ATP6,18329,0.5156
ACTB,18329,0.5147
ADGRF5P2,44,0.5143
MT-ND5,18329,0.5095
ENSG00000267589,23,0.5066
MT-CYB,18329,0.5061
ENSG00000290655,62,0.5049
ENSG00000279223,93,0.5034
RNU7-37P,43,0.5018
MT-ATP8,18329,0.5012
MT-CO3,18329,0.5003
EGR1,18329,0.4976
COX11P1,54,0.4962
ENSG00000284095,329,0.4955
RNU6-1144P,46,0.4945
LINC02337,61,0.4942
ENSG00000280441,18215,0.4923
ENSG00000288657,154,0.4916
ENSG00000218857,42,0.4909
ENSG00000275088,55,0.4908
ENSG00000287136,46,0.4908
RPL4,18328,0.4907
RPL31P59,95,0.4903
ASMTL-AS1,17528,0.4885
FASN,18229,0.4879
FRG2MP,45,0.4875
ENSG00000279442,46,0.4874
RPSA,17894,0.4873
FTH1,18329,0.487
EEF2,18329,0.485
ENSG00000268080,104,0.4846
YJEFN3,17740,0.4813
ENSG00000261743,46,0.4811
ENSG00000228085,86,0.4777
ENSG00000258566,30,0.4747
GAPDH,18329,0.474
MYL6P5,51,0.4733
GYG1P3,53,0.4704
MYL12BP2,106,0.4683
DBN1,17958,0.4651
IGHVII-44-2,46,0.4648
HLA-C,18291,0.4633
ENSG00000258757,17718,0.4616
MTND1P27,56,0.4614
PPP1R10P1,37,0.4612
BIRC6-AS2,20,0.4612
H1-0,18329,0.459
ENSG00000230021,18069,0.4588
RPL41,18110,0.4584
ENSG00000217878,58,0.4579
BMS1P11,44,0.4578
ENSG00000255216,107,0.4571
SNRPCP1,30,0.4569
ENSG00000288922,136,0.4565
SCYGR10,30,0.4557
RMRP,17155,0.454
ENSG00000216966,45,0.4536
UQCRHP1,33,0.4531
ENSG00000231653,27,0.4525
PGAM1,17996,0.4519
ENSG00000260146,68,0.4516
ENSG00000238232,52,0.4507
ALDOA,18329,0.4503
ENSG00000281383,17545,0.4501
ENSG00000227080,46,0.4495
EIF4H,18230,0.4493
ENSG00000291125,72,0.4492
LINC00557,40,0.4489
ENSG00000289919,61,0.4485
DHFR,18088,0.4459
PPP1R15A,18310,0.4459
PDE4DIPP4,111,0.4456
ENSG00000288912,77,0.4439
ENSG00000269588,86,0.4431
ENSG00000258021,51,0.4418
CNN2P1,73,0.4417
RNA5SP343,21,0.4416
CRNN,564,0.4413
RN7SL806P,36,0.4406
LDHAP4,16160,0.439
MT-ND4,18329,0.4375
LENG8,18233,0.4372
NEAT1,18329,0.4367
ENSG00000259870,40,0.4345
ENSG00000236634,96,0.4334
JUNB,18267,0.433
ENSG00000274468,47,0.433
AHNAK,18329,0.4326
NPM1,18329,0.4321
ENSG00000254372,50,0.4303
RN7SL28P,23,0.4281
ENSG00000235572,66,0.4256
MT1X,18279,0.4229
ENSG00000226587,40,0.4217
YWHAZP8,70,0.4211
OR7E110P,41,0.4207
RPL6,18255,0.4202
FSCN2,16254,0.4187
ENSG00000270491,44,0.4182
VEGFA,18329,0.418
PHLDA1,18328,0.4177
OR51A9P,39,0.4174
UBC,18328,0.4167
RYR2,17824,0.4154
ENSG00000199474,41,0.4147
OR8G2P,116,0.4141
TNKS1BP1,18057,0.4135
ENSG00000279521,135,0.413
ENSG00000235328,36,0.413
HLA-H,16938,0.4128
SNORA70-12,172,0.4128
ZFP36,18205,0.4125
ENSG00000213587,416,0.4124
OR10J6P,96,0.4123
FGFRL1,17686,0.4113
ENSG00000270549,73,0.4094
ZBED6,17566,0.4087
TOP3BP1,39,0.4085
GAPDHP16,44,0.408
PPP1R9B,17897,0.4073
HNRNPA2B1,18329,0.4072
RNU6-510P,74,0.4066
ENSG00000248876,78,0.4063
ENSG00000259098,227,0.4061
ITGA2,18329,0.406
SOD1P3,43,0.405
PABPC1P8,97,0.4049
ENSG00000279534,292,0.4046
ZNF859P,84,0.4045
CCDC200,17541,0.4039
PCBP2,18329,0.4038
ENSG00000289836,64,0.4032
RPS2P5,16174,0.4032
ENSG00000277017,21,0.4029
MYL6,18314,0.4026
ENSG00000286210,68,0.4019
ENSG00000279034,51,0.4012
JUN,18324,0.4004
SRD5A1P1,75,0.4004
RPL12P31,25,0.4003
HNRNPA1,18329,0.4
LINC01343,93,0.3996
FKBP5,17873,0.3987
ATN1,18231,0.3982
ENSG00000279403,43,0.3974
ENSG00000286301,24,0.3972
ENSG00000244281,82,0.3971
ENSG00000270066,17387,0.3968
ENSG00000277856,103,0.3965
ENSG00000230686,57,0.3957
BDP1P,92,0.3945
RNU1-14P,486,0.3944
ENSG00000278965,129,0.3944
RAC1P7,24,0.3932
RPL19P11,40,0.3929
ENSG00000228235,31,0.3925
TM4SF1,18329,0.3922
ENSG00000289991,240,0.3921
BBS9,18317,0.3919
CXCL8,18328,0.3917
TRIM64C,136,0.3909
RPL14,18290,0.3907
ENSG00000275254,43,0.3895
MTND2P28,17897,0.3895
SPRY4,18222,0.3889
ENSG00000255900,20,0.3889
ENSG00000259457,100,0.3887
HSPA8,18321,0.3884
CIBAR1P2,186,0.3883
MCL1,18329,0.3875
SNRPGP17,311,0.3866
TTTY18,637,0.3866
DUSP6,18254,0.3857
AHNAK2,18161,0.3852
ENSG00000276690,346,0.3847
H2AZP6,75,0.3846
LUCAT1,18329,0.3841
RNU6-422P,57,0.3837
HLA-G,15546,0.3836
ENSG00000219993,176,0.3834
ENSG00000269188,26,0.3814
H4C13,9767,0.3811
ENSG00000290730,82,0.3809
ENSG00000228790,93,0.3808
LILRP1,593,0.3807
ENSG00000241354,118,0.3806
EHBP1L1,18108,0.3805
BCAP31,17993,0.3804
ENSG00000228675,92,0.3803
NUMA1,18224,0.3791
FAM230A,49,0.3785
S100A7A,464,0.3781
BHLHE22,201,0.378
ENSG00000253571,31,0.378
FN1,18329,0.3774
GPI,18329,0.3771
RNU4-1,16691,0.3765
ENSG00000271364,29,0.3765
SREBF1,18176,0.3761
TBC1D3P5-1,78,0.376
PSMD7P1,192,0.3758
UBE2V1P7,40,0.3755
ENSG00000287504,66,0.3753
RN7SKP166,502,0.3751
HSP90AA1,18329,0.3751
ENSG00000242729,62,0.3749
SDC4,18325,0.3745
ENSG00000226938,51,0.3744
FOSL1,18322,0.3716
OR5H3P,145,0.3715
H3C2,16836,0.3714
HSPA1B,17968,0.3714
KRTAP13-2,148,0.37
DLG2,18270,0.3695
ENSG00000255422,17564,0.3693
LINC00905,120,0.3688
ERO1A,18329,0.3687
ENSG00000288749,72,0.3686
ENSG00000261538,60,0.368
DCBLD2,18329,0.3677
RN7SL350P,33,0.3673
ANAPC1P3,93,0.3671
CBLB,18329,0.3663
ENSG00000289477,25,0.3662
CCN1,18271,0.3648
SLC6A8,18009,0.3648
TXNRD1,18329,0.3636
EPIC1,18329,0.3636
ENSG00000291255,22,0.3634
ENSG00000256708,78,0.3632
KDM6B,18220,0.363
ENSG00000251058,48,0.3626
RPL22P11,182,0.3624
ENSG00000276915,58,0.3624
ENSG00000248847,53,0.3619
NCL,18329,0.3617
SLC38A2,18329,0.3612
RPL7AP53,207,0.361
CALML3,95,0.3605
NORAD,18318,0.3604
ENSG00000235308,104,0.3602
RPS7,18161,0.36
RPL31P30,42,0.3599
PLXNB2,18215,0.3596
CSN2,95,0.3595
RN7SKP43,128,0.3592
H1-10,18158,0.3589
CDCP1,18329,0.3587
ZNF971P,82,0.3584
ENSG00000219302,643,0.3584
TCAF1P1,15434,0.3577
ENSG00000253749,42,0.3576
PRELID1P5,1345,0.3576
TMEM165,18329,0.3576
HSP90AB1,18329,0.3575
TXNIP,18328,0.3574
RPS21P4,82,0.3573
ENSG00000227687,61,0.3568
NDUFB4P4,35,0.3568
ENSG00000280268,123,0.3568
ENSG00000243328,146,0.3556
CDK5RAP3,17917,0.3553
TRAV30,54,0.3553
LINC01883,211,0.3548
MT2A,18329,0.3545
PAWRP1,81,0.3545
ENSG00000277513,529,0.3542
YWHAQP4,200,0.3542
H4C4,15421,0.3536
HMGN2,18160,0.3536
CD44,18329,0.3518
SPATA31E2P,46,0.3512
TUBA1B,18286,0.3509
RNU11-2P,37,0.3505
PITPNC1,18329,0.3503
ENSG00000270255,106,0.3502
PUF60,17771,0.35
ASPH,18329,0.35
ENSG00000240813,22,0.35
SPRY4-AS1,18293,0.35
IGHV3-36,71,0.3487
NR1D1,18127,0.3487
ENSG00000229961,138,0.3483
LINC01165,89,0.3482
ENSG00000287001,18116,0.3482
AGAP1,18329,0.3481
OR9K2,53,0.348
RPS2,18307,0.3477
