patient,drug,n_genes_scored,mean_abs_delta,r,r_responder,n_responders,n_plates_even
ACH-000120,(R)-Verapamil (hydrochloride),19464,0.565,0.0312,,26,True
ACH-000120,(S)-Crizotinib,18279,0.5674,0.0122,,45,False
ACH-000120,18β-Glycyrrhetinic acid,18656,0.6041,0.1202,,38,True
ACH-000120,4EGI-1,18544,0.6282,0.0508,0.6791,159,False
ACH-000120,5-Azacytidine,19111,0.5947,0.0973,0.4269,307,False
ACH-000120,5-Fluorouracil,19167,0.5829,0.0756,0.4427,141,False
ACH-000120,8-Hydroxyquinoline,19031,0.5703,0.0989,,37,True
ACH-000120,9-ING-41,18130,0.6444,-0.058,-0.1249,665,False
ACH-000120,APTO-253,18904,0.6055,0.0138,0.4553,210,False
ACH-000120,AT7519,18052,0.6328,0.0624,0.6771,55,False
ACH-000120,AZD-7648,17915,0.7091,0.0884,0.367,606,False
ACH-000120,AZD-8055,18290,0.6164,0.0405,0.5308,64,False
ACH-000120,AZD1390,18277,0.6363,0.049,0.411,235,False
ACH-000120,AZD2858,17603,0.8191,0.1396,0.314,269,False
ACH-000120,Abemaciclib,15150,0.6799,0.0502,0.4643,645,False
ACH-000120,Abiraterone acetate,19632,0.5696,0.0709,0.6059,122,False
ACH-000120,Acetazolamide,19096,0.613,0.1253,0.4654,436,False
ACH-000120,Acetohexamide,19428,0.5737,0.0563,,9,True
ACH-000120,Adagrasib,26152,0.4088,0.0709,0.8243,282,True
ACH-000120,Adenine,19625,0.5584,0.0682,0.906,56,True
ACH-000120,Adenosine,19497,0.5583,0.0676,,24,True
ACH-000120,Afatinib,22831,0.4913,0.0803,0.0484,110,False
ACH-000120,Aliskiren,19535,0.5566,0.0651,,12,True
ACH-000120,Allantoin,18641,0.6223,0.1599,0.5588,86,True
ACH-000120,Allopurinol,20140,0.5975,0.0806,0.5328,607,False
ACH-000120,Almonertinib (hydrochloride),18602,0.6101,0.152,0.6695,62,True
ACH-000120,Almonertinib (mesylate),21826,0.5047,-0.0133,0.0314,223,True
ACH-000120,Alpelisib,17539,0.6472,0.0624,0.7825,98,False
ACH-000120,Altretamine,17578,0.5856,0.0411,,12,False
ACH-000120,Amsacrine,19007,0.6354,0.087,,21,True
ACH-000120,Anastrozole,18975,0.607,0.0364,,35,False
ACH-000120,Anethole trithione,19812,0.5667,0.0907,0.8877,91,True
ACH-000120,Apalutamide,17147,0.5796,0.0222,,7,False
ACH-000120,Aprepitant,19093,0.5991,0.0973,0.4965,539,False
ACH-000120,Arbutin,16948,0.6097,0.0688,,25,False
ACH-000120,Artemether,19896,0.619,0.1283,0.7598,247,False
ACH-000120,Artesunate,19142,0.5719,0.0845,0.78,105,True
ACH-000120,Asciminib,18892,0.599,0.1177,0.5131,559,False
ACH-000120,Aspirin,19670,0.5865,0.0828,0.6329,177,False
ACH-000120,Ataluren,19626,0.5681,0.0491,0.3792,214,False
ACH-000120,Atazanavir (sulfate),18811,0.6065,0.1474,0.6883,254,False
ACH-000120,Auranofin,19034,0.6412,0.1279,0.3105,279,False
ACH-000120,Azithromycin (hydrate),18864,0.573,0.0852,,11,True
ACH-000120,BAY1125976,18872,0.6058,-0.1239,-0.1794,628,False
ACH-000120,BI-3406,17873,0.6588,0.0843,0.5121,272,False
ACH-000120,BI-78D3,18258,0.6397,0.0176,0.0126,779,False
ACH-000120,Baicalin,19572,0.5727,0.0814,,19,True
ACH-000120,Balsalazide (sodium hydrate),19903,0.5546,0.0554,,19,True
ACH-000120,Belinostat,19001,0.6997,0.1489,0.7311,256,False
ACH-000120,Belumosudil,21877,0.5131,0.0172,0.1051,174,True
ACH-000120,Belumosudil (mesylate),18172,0.6402,0.047,0.4294,212,False
ACH-000120,Belzutifan,17224,0.7699,0.0468,0.4039,160,False
ACH-000120,Bendamustine,17273,0.6046,0.0677,,9,False
ACH-000120,Benproperine (phosphate),18010,0.5908,0.0539,,29,False
ACH-000120,Bentamapimod,18039,0.626,0.0365,0.1624,389,False
ACH-000120,Benztropine (mesylate),19258,0.5453,0.0522,0.474,71,False
ACH-000120,Berbamine,20366,0.5214,0.0268,-0.0453,120,False
ACH-000120,Berbamine (dihydrochloride),21539,0.5174,0.0419,0.5118,197,True
ACH-000120,Berberine (chloride hydrate),19327,0.5651,0.0614,,34,True
ACH-000120,Bergenin,19083,0.566,0.0576,,8,True
ACH-000120,Bestatin,17267,0.5803,0.033,,5,False
ACH-000120,Bestatin (hydrochloride),19025,0.5853,0.0955,0.3544,235,False
ACH-000120,Betamethasone dipropionate,16819,0.6195,0.1004,0.8254,61,False
ACH-000120,Bexarotene,19363,0.6011,0.1176,0.7115,294,False
ACH-000120,Bicalutamide,20076,0.5783,0.0795,0.7452,86,False
ACH-000120,Bimatoprost,19528,0.58,0.0634,,21,True
ACH-000120,Bimiralisib,17571,0.7851,0.147,0.2283,524,False
ACH-000120,Binimetinib,21219,0.6861,0.3415,0.6118,911,True
ACH-000120,Bisoprolol (hemifumarate),16657,0.6388,0.0936,0.3596,101,False
ACH-000120,Bortezomib,17571,0.7469,0.18,0.6081,659,False
ACH-000120,Bosentan (hydrate),17112,0.6058,0.0662,,23,False
ACH-000120,Brimonidine,19161,0.5456,0.022,0.2249,90,False
ACH-000120,Brivudine,18195,0.6764,0.0675,0.299,696,False
ACH-000120,Budesonide,19438,0.6185,0.1144,0.5669,596,False
ACH-000120,Busulfan,19043,0.5901,0.1167,0.6879,56,True
ACH-000120,CP21R7,17908,0.6478,0.0475,0.2978,272,False
ACH-000120,Cabozantinib (S-malate),19137,0.5948,0.0936,0.5466,195,False
ACH-000120,Canagliflozin,16440,0.6273,0.0938,0.518,56,False
ACH-000120,Canagliflozin (hemihydrate),19078,0.6027,0.0809,0.3443,194,False
ACH-000120,Capivasertib,18138,0.617,0.041,0.2589,103,False
ACH-000120,Capmatinib,17975,0.6391,0.0439,0.5016,149,False
ACH-000120,Captopril,20558,0.5249,0.0752,0.2646,223,True
ACH-000120,Carbamazepine,19001,0.588,0.0944,0.541,228,False
ACH-000120,Celecoxib,17828,0.6689,0.0577,0.0497,618,False
ACH-000120,Cepharanthine,18747,0.6291,0.0995,,25,True
ACH-000120,Chlorhexidine (diacetate),20693,0.5107,0.0312,0.3071,118,False
ACH-000120,Ciclopirox,18647,0.5793,0.1277,,40,True
ACH-000120,Cilostazol,17805,0.5978,0.0767,,31,False
ACH-000120,Cinacalcet,19154,0.5782,0.0774,0.5356,181,False
ACH-000120,Citalopram (hydrobromide),19953,0.582,0.0743,0.6601,163,False
ACH-000120,Clobetasol propionate,18859,0.6035,0.1201,0.4699,230,False
ACH-000120,Clofarabine,17534,0.5873,0.0491,,1,False
ACH-000120,Clonidine (hydrochloride),20270,0.5523,0.0842,,49,True
ACH-000120,Clopidogrel,19239,0.5994,0.0869,0.5325,464,False
ACH-000120,Clotrimazole,19118,0.5793,0.1021,0.7711,53,True
ACH-000120,Cloxacillin (sodium),19439,0.536,0.0368,,7,True
ACH-000120,Cobimetinib,16367,0.6791,0.1869,,37,False
ACH-000120,Crizotinib (hydrochloride),19273,0.6099,0.1129,0.6508,334,False
ACH-000120,Cyclosporin A,19378,0.6172,0.1282,0.7559,334,False
ACH-000120,Cysteamine (hydrochloride),19316,0.5606,0.0516,,14,True
ACH-000120,Cytarabine,21753,0.5345,0.0544,0.2525,183,True
ACH-000120,Cytarabine (hydrochloride),17861,0.5983,0.0529,,32,False
ACH-000120,DT-061,17974,0.6342,0.0455,0.3931,132,False
ACH-000120,DTP3,13792,0.6588,0.0203,0.0889,257,False
ACH-000120,Dabrafenib,19250,0.6156,0.0083,0.4082,286,False
ACH-000120,Daidzin,21718,0.5123,0.02,0.24,228,True
ACH-000120,Dapagliflozin,20416,0.5561,0.0824,0.6102,66,False
ACH-000120,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",16502,0.6246,0.083,0.6405,84,False
ACH-000120,Darinaparsin,19040,0.5692,0.0733,,37,True
ACH-000120,Darolutamide,19308,0.6176,0.1546,0.6958,317,False
ACH-000120,Decitabine,16527,0.6888,0.179,0.504,211,False
ACH-000120,Delamanid,19212,0.5831,0.0873,0.7827,277,False
ACH-000120,Demeclocycline,19130,0.5597,0.0649,,14,True
ACH-000120,Dexamethasone,18955,0.579,0.0955,0.772,210,False
ACH-000120,Dexmedetomidine,18051,0.6052,0.079,,9,False
ACH-000120,Diammonium Glycyrrhizinate,18984,0.5601,0.0491,,45,True
ACH-000120,Digitoxin,18954,0.8706,0.3653,0.8229,2064,False
ACH-000120,Dihydroartemisinin,18735,0.591,0.112,0.4862,90,False
ACH-000120,Dimethyl fumarate,17415,0.5732,0.0155,,5,False
ACH-000120,Dinaciclib,16291,1.2676,0.6083,0.8183,814,False
ACH-000120,Diphenhydramine,18202,0.5922,0.063,0.8077,96,False
ACH-000120,Docetaxel,19456,0.6046,0.1125,0.488,388,True
ACH-000120,Docetaxel (Trihydrate),17649,0.6068,0.0783,,14,False
ACH-000120,Dorzolamide (hydrochloride),17067,0.6268,0.0944,0.4772,64,False
ACH-000120,Doxorubicin (hydrochloride),17200,0.6691,0.1257,0.7697,62,False
ACH-000120,Doxycycline (monohydrate),17066,0.5953,0.0438,,25,False
ACH-000120,Drospirenone,19318,0.5956,0.1078,0.6069,246,False
ACH-000120,ERK5-IN-2,18788,0.6141,-0.0228,0.0472,503,False
