patient,drug,n_rows,n_plates,n_plates_even,n_plates_half0,n_plates_half1,n_dose_levels,frac_untestable
ACH-000120,(R)-Verapamil (hydrochloride),250840,4,True,2,2,3,0.6882435018338383
ACH-000120,(S)-Crizotinib,188130,3,False,1,2,3,0.6790676659756552
ACH-000120,18β-Glycyrrhetinic acid,250840,4,True,2,2,3,0.6996172859193112
ACH-000120,4EGI-1,188130,3,False,1,2,3,0.6990910540583639
ACH-000120,5-Azacytidine,188130,3,False,1,2,3,0.6661935895391484
ACH-000120,5-Fluorouracil,188130,3,False,1,2,3,0.6611385743900494
ACH-000120,8-Hydroxyquinoline,250840,4,True,2,2,3,0.6920586828257056
ACH-000120,9-ING-41,188130,3,False,1,2,3,0.6947217349704992
ACH-000120,APTO-253,188130,3,False,1,2,3,0.6867857332695476
ACH-000120,AT7519,188130,3,False,1,2,3,0.7085685430287567
ACH-000120,AZD-7648,188130,3,False,1,2,3,0.7110189762398341
ACH-000120,AZD-8055,188130,3,False,1,2,3,0.6989634826981342
ACH-000120,AZD1390,188130,3,False,1,2,3,0.7005581247010046
ACH-000120,AZD2858,188130,3,False,1,2,3,0.7125019933025036
ACH-000120,Abemaciclib,188130,3,False,2,1,3,0.6823792058682826
ACH-000120,Abiraterone acetate,188130,3,False,1,2,3,0.6561101366076649
ACH-000120,Acetazolamide,188130,3,False,1,2,3,0.6656726731515441
ACH-000120,Acetohexamide,250840,4,True,2,2,3,0.6879883591133791
ACH-000120,Adagrasib,1003360,14,True,6,8,3,0.6785909344602137
ACH-000120,Adenine,250840,4,True,2,2,3,0.6846675171424015
ACH-000120,Adenosine,250840,4,True,2,2,3,0.6866807526710254
ACH-000120,Afatinib,564390,7,False,3,4,3,0.6868016796895764
ACH-000120,Aliskiren,250840,4,True,2,2,3,0.6852096954233775
ACH-000120,Allantoin,250840,4,True,2,2,3,0.6991667995535003
ACH-000120,Allopurinol,188130,3,False,1,2,3,0.6492903843087227
ACH-000120,Almonertinib (hydrochloride),250840,4,True,2,2,3,0.6993741030138734
ACH-000120,Almonertinib (mesylate),376260,4,True,2,2,3,0.6730292882581194
ACH-000120,Alpelisib,188130,3,False,1,2,3,0.7153989262743847
ACH-000120,Altretamine,188130,3,False,1,2,3,0.6804231116780949
ACH-000120,Amsacrine,250840,4,True,2,2,3,0.6945024716951045
