patient,drug,n_first,n_second,n_both,jaccard
ACH-000120,(R)-Verapamil (hydrochloride),26,255,8,0.0293
ACH-000120,(S)-Crizotinib,45,103,15,0.1128
ACH-000120,18β-Glycyrrhetinic acid,38,274,18,0.0612
ACH-000120,4EGI-1,159,7,5,0.0311
ACH-000120,5-Azacytidine,307,393,80,0.129
ACH-000120,5-Fluorouracil,141,167,36,0.1324
ACH-000120,8-Hydroxyquinoline,37,108,19,0.1508
ACH-000120,9-ING-41,665,192,63,0.0793
ACH-000120,APTO-253,210,12,8,0.0374
ACH-000120,AT7519,55,27,10,0.1389
ACH-000120,AZD-7648,606,20,13,0.0212
ACH-000120,AZD-8055,64,15,9,0.1286
ACH-000120,AZD1390,235,51,15,0.0554
ACH-000120,AZD2858,269,31,14,0.049
ACH-000120,Abemaciclib,645,41,29,0.0441
ACH-000120,Abiraterone acetate,122,218,30,0.0968
ACH-000120,Acetazolamide,436,171,50,0.0898
ACH-000120,Acetohexamide,9,209,6,0.0283
ACH-000120,Adagrasib,282,161,56,0.1447
ACH-000120,Adenine,56,87,23,0.1917
ACH-000120,Adenosine,24,201,11,0.0514
ACH-000120,Afatinib,110,317,42,0.1091
ACH-000120,Aliskiren,12,96,10,0.102
ACH-000120,Allantoin,86,374,39,0.0926
ACH-000120,Allopurinol,607,257,105,0.1383
ACH-000120,Almonertinib (hydrochloride),62,319,24,0.0672
ACH-000120,Almonertinib (mesylate),223,138,24,0.0712
ACH-000120,Alpelisib,98,51,17,0.1288
ACH-000120,Altretamine,12,41,5,0.1042
ACH-000120,Amsacrine,21,596,18,0.0301
ACH-000120,Anastrozole,35,14,5,0.1136
ACH-000120,Anethole trithione,91,102,33,0.2062
ACH-000120,Apalutamide,7,313,4,0.0127
ACH-000120,Aprepitant,539,223,77,0.1124
ACH-000120,Arbutin,25,134,14,0.0966
ACH-000120,Artemether,247,442,99,0.1678
ACH-000120,Artesunate,105,468,64,0.1257
ACH-000120,Asciminib,559,251,74,0.1005
ACH-000120,Aspirin,177,215,44,0.1264
ACH-000120,Ataluren,214,80,20,0.073
ACH-000120,Atazanavir (sulfate),254,425,98,0.1687
ACH-000120,Auranofin,279,3135,175,0.054
ACH-000120,Azithromycin (hydrate),11,224,4,0.0173
ACH-000120,BAY1125976,628,887,171,0.1272
ACH-000120,BI-3406,272,43,23,0.0788
ACH-000120,BI-78D3,779,54,26,0.0322
ACH-000120,Baicalin,19,129,13,0.0963
ACH-000120,Balsalazide (sodium hydrate),19,76,10,0.1176
ACH-000120,Belinostat,256,4537,193,0.042
ACH-000120,Belumosudil,174,730,49,0.0573
ACH-000120,Belumosudil (mesylate),212,25,13,0.058
ACH-000120,Belzutifan,160,79,5,0.0214
ACH-000120,Bendamustine,9,100,8,0.0792
ACH-000120,Benproperine (phosphate),29,115,13,0.0992
ACH-000120,Bentamapimod,389,48,21,0.0505
ACH-000120,Benztropine (mesylate),71,133,12,0.0625
