stratum,r
any_pair,-0.0093
any_pair,0.0307
any_pair,0.0381
any_pair,0.0431
any_pair,0.0424
any_pair,-0.0027
any_pair,0.0629
any_pair,0.0219
any_pair,0.0449
any_pair,0.0361
any_pair,0.0322
any_pair,0.0374
any_pair,0.0284
any_pair,0.0596
any_pair,0.0119
any_pair,0.0921
any_pair,0.045
any_pair,0.1036
any_pair,0.0228
any_pair,0.0206
any_pair,0.0386
any_pair,0.0346
any_pair,-0.0074
any_pair,0.0377
any_pair,0.0208
any_pair,0.0125
any_pair,0.0577
any_pair,-0.0008
any_pair,0.0227
any_pair,0.0213
any_pair,0.0535
any_pair,0.0199
any_pair,0.0521
any_pair,0.0705
any_pair,0.0224
any_pair,0.0255
any_pair,0.0274
any_pair,0.0277
any_pair,0.037
any_pair,0.0062
any_pair,0.0226
any_pair,-0.021
any_pair,0.0696
any_pair,0.1561
any_pair,0.0791
any_pair,0.0307
any_pair,0.0724
any_pair,0.0428
any_pair,0.1555
any_pair,0.0421
any_pair,0.1601
any_pair,0.0324
any_pair,0.1087
any_pair,0.0208
any_pair,0.074
any_pair,-0.0005
any_pair,0.0659
any_pair,0.0345
any_pair,0.0471
any_pair,0.0108
any_pair,0.0051
any_pair,0.0354
any_pair,0.0438
any_pair,0.0793
any_pair,-0.0027
any_pair,0.0566
any_pair,0.0367
any_pair,0.0409
any_pair,0.0223
any_pair,0.0392
any_pair,0.0491
any_pair,0.0432
any_pair,0.0651
any_pair,0.0089
any_pair,-0.1184
any_pair,0.037
any_pair,0.0245
any_pair,0.0383
any_pair,0.0545
any_pair,0.029
any_pair,0.0426
any_pair,0.0361
any_pair,0.038
any_pair,0.0706
any_pair,0.0338
any_pair,0.0284
any_pair,0.0494
any_pair,0.0046
any_pair,0.0334
any_pair,0.0219
any_pair,0.0448
any_pair,0.0455
any_pair,0.0363
any_pair,0.0598
any_pair,0.0417
any_pair,0.0454
any_pair,0.0394
any_pair,0.0511
any_pair,0.0752
any_pair,-0.018
any_pair,0.0283
