gene,n_pairs,r
HSP90AA1,1600,0.7897
EGR1,1600,0.7493
HSPA1B,1569,0.7173
HSPH1,1594,0.7115
PLEC,1600,0.6908
TEX14,1575,0.6858
HSPD1,1600,0.6768
HSP90AB1,1600,0.6753
ZC3H3,1577,0.6619
HSPA8,1600,0.6472
BAG3,1588,0.6469
ACTB,1600,0.6338
HNRNPA2B1,1600,0.6334
FLNA,1600,0.6288
NEAT1,1600,0.6275
SPRED2,1600,0.6266
LRCH3,1600,0.6261
ITGA2,1600,0.6239
IER2,1586,0.6212
CCND1,1598,0.6198
DHFR,1585,0.6194
DNAJB1,1591,0.6187
NCOA1,1600,0.6092
PIAS1,1600,0.6071
HMGN2,1586,0.6055
FTH1,1600,0.6052
ETV5,1596,0.604
UBC,1600,0.6035
BBS9,1599,0.6024
SPRY4-AS1,1597,0.6009
EEF2,1600,0.5944
PSMD2,1589,0.5943
HSPA1A,1567,0.5939
KRT18,1600,0.5929
CYB5D2,1552,0.5902
DBN1,1565,0.5896
CFL1,1599,0.5883
CBFA2T2,1600,0.5866
MYH9,1600,0.5827
SLC38A2,1600,0.5818
JMJD1C,1600,0.5794
KANSL1,1600,0.5758
SOD1,1583,0.5727
S100A7A,43,0.5675
YBX1,1600,0.5673
MBD5,1600,0.567
EIF5A,1595,0.5668
XRCC6,1594,0.5657
ARL15,1600,0.5647
NPM1,1600,0.5602
FNDC3B,1600,0.5548
MALAT1,1600,0.5541
MINDY2,1600,0.5527
PNRC1,1599,0.5513
DCBLD2,1600,0.5499
PLD1,1597,0.5488
TMTC2,1600,0.5459
NDRG1,1600,0.5459
DDX21,1600,0.5448
EXT1,1600,0.5446
NCL,1600,0.5437
TMEM165,1600,0.542
RRM2,1596,0.5361
LPIN2,1599,0.5349
PAN3,1600,0.5348
JUNB,1589,0.5346
RYR2,1555,0.5338
CCT5,1596,0.5323
HLA-C,1598,0.5321
SPRED1,1600,0.5301
KIAA1328,1600,0.53
CLU,1583,0.5294
TPM3,1600,0.5293
NUMB,1600,0.528
FOS,1597,0.5261
SMYD3,1600,0.5254
FOSL1,1600,0.5252
APOL2,1590,0.5235
KDM3A,1600,0.5228
ZCCHC7,1600,0.5224
FAM13B,1600,0.5217
ECI1,1585,0.521
IFRD1,1597,0.5205
KLHL24,1600,0.5198
TSC22D1,1600,0.519
FBXL17,1600,0.5178
CXCL8,1600,0.5176
ST3GAL3,1595,0.517
MAP2K5,1598,0.5162
RAPGEF2,1599,0.5156
RAPGEF6,1600,0.5147
CHD1,1600,0.5142
PPP2R5E,1600,0.5122
UBR1,1600,0.5117
RALGAPA1,1599,0.5116
LMNB2,1564,0.5113
MT1X,1590,0.5111
TMSB4X,1599,0.5103
FBXL20,1599,0.5094
BTBD9,1599,0.5092
MGAT5,1600,0.5082
CBLB,1600,0.508
SOS1,1600,0.5075
B4GALT5,1600,0.507
CALM2,1600,0.5064
HELZ2,1586,0.5062
ZFAND5,1593,0.5061
SERPINH1,1587,0.5061
SEC24B,1595,0.5055
HSPE1,1586,0.5054
GSK3B,1600,0.5053
STRN3,1600,0.5047
ZMYM2,1600,0.5031
ITGB5,1597,0.5027
SHOC2,1600,0.5027
HNRNPA3,1600,0.5024
MEF2D,1594,0.5
TCF7L2,1600,0.4999
ASMTL-AS1,1537,0.4999
MLLT10,1600,0.4998
NAV2,1600,0.4995
CYCS,1587,0.4992
RORA,1600,0.4991
RPSA,1566,0.4989
ZBTB20,1600,0.4988
PITPNC1,1600,0.4988
EMSY,1595,0.4984
FRYL,1600,0.4981
RBMS3,1600,0.498
MTMR12,1579,0.498
SEC22A,1598,0.4976
APBB2,1600,0.4965
MCL1,1600,0.4964
FAM193A,1600,0.4951
HEATR5B,1598,0.4948
BIRC6,1600,0.4937
THBS1,1587,0.493
APC,1596,0.4926
AHNAK,1600,0.4926
EEF1A1,1600,0.4925
CUL3,1600,0.4923
ATXN1,1600,0.4912
NBAS,1600,0.4907
NPAS2,1600,0.4905
HSPB1,1595,0.4904
HNRNPAB,1578,0.49
KDM4C,1600,0.49
PHLDA1,1600,0.4897
STMN1,1593,0.4896
WDFY3,1600,0.4888
SIPA1L1,1600,0.4882
CDC37,1588,0.4877
DCTN1,1573,0.4873
TUBA1B,1597,0.4869
CHORDC1,1600,0.4867
MSN,1599,0.4867
GAB1,1599,0.4862
ETV1,1586,0.4862
KIR2DL3,41,0.4861
PUM2,1600,0.4859
TANC2,1600,0.4859
MTF2,1589,0.4856
ARNT,1598,0.4855
QRICH1,1593,0.4855
ANKHD1,1600,0.4853
BCKDHB,1595,0.4847
PPP1R15A,1599,0.4846
SLC2A1,1600,0.4845
MED13L,1600,0.4843
ABL2,1600,0.4839
SET,1599,0.4838
ZSWIM6,1600,0.4838
MYO1E,1600,0.483
MAGI1,1600,0.483
PRPS1,1562,0.4828
LDHA,1600,0.4824
P4HA1,1600,0.4822
CD44,1600,0.4818
BLZF1,1600,0.4817
LUCAT1,1600,0.4815
AVL9,1600,0.4814
FASN,1598,0.4804
AMBRA1,1600,0.4803
RNF19A,1599,0.48
ERN1,1598,0.4796
MYO9A,1600,0.4793
AFF1,1600,0.4785
MAGEB10,23,0.4784
VPS13B,1600,0.4779
UMAD1,1600,0.4778
TMCC1,1600,0.4778
PRRC1,1595,0.4778
HELLS,1591,0.4773
FAM222B,1600,0.4767
ARC,1387,0.4765
CHD2,1600,0.476
CSNK1D,1591,0.4759
PPP1R9B,1565,0.4756
BIRC5,1552,0.4754
JARID2,1600,0.4748
RICTOR,1600,0.4746
KDM2A,1600,0.4746
RASA2,1600,0.4744
KRT8,1599,0.4742
NIPBL,1600,0.4741
MCU,1600,0.4739
EGR3,1526,0.4736
PSMD11,1588,0.4732
ABHD3,1592,0.4732
SCAF8,1599,0.4731
ZFAND2A,1563,0.4723
SAT1,1600,0.472
KMT2D,1599,0.4719
NUDC,1581,0.4715
FAM13A,1600,0.4714
RAB1A,1600,0.4711
GBE1,1600,0.4701
TXNDC11,1600,0.47
EPN2,1599,0.4698
UBR2,1600,0.4695
ZNF248,1593,0.4694
ANKRD17,1600,0.4692
BRAF,1600,0.4679
TNS3,1600,0.4677
CDK19,1600,0.4668
SNX25,1600,0.4666
MED13,1600,0.4664
BTRC,1600,0.4659
FBXO42,1599,0.4658
IP6K1,1593,0.4658
RSF1,1600,0.4656
YEATS2,1600,0.4652
PHC2,1599,0.4652
SMURF2,1600,0.4651
BTG1,1600,0.465
CHD3,1594,0.465
PTPN12,1600,0.4646
ATF2,1600,0.4643
CD55,1600,0.4643
OAS2,1563,0.4634
FRMD5,1599,0.4633
TUSC3,1600,0.4631
CITED2,1589,0.4631
RAD51B,1600,0.463
SLC41A2,1594,0.4626
VMA21,1575,0.4625
HILPDA,1599,0.4623
N4BP2L2,1600,0.4623
PHF21A,1600,0.4622
EPC1,1598,0.4622
ELK3,1594,0.4621
WDFY2,1600,0.462
TM4SF1,1600,0.4618
KANSL3,1597,0.4613
ID1,1587,0.4613
BBOX1-AS1,1562,0.4611
ZNF609,1600,0.4611
CDC14B,1592,0.461
TTC17,1600,0.4609
ABL1,1600,0.4609
FOXO1,1598,0.4607
VEZT,1600,0.4597
GPI,1600,0.4596
PRAG1,1595,0.4595
ZNF148,1599,0.4593
ZFYVE9,1595,0.4591
BCL9L,1595,0.4591
CNNM2,1593,0.4589
FTX,1600,0.4584
DDX60,1599,0.4583
ZFYVE28,1597,0.4582
PSMD5,1596,0.4581
TMX1,1588,0.4579
TXNRD1,1600,0.4578
STAT1,1600,0.4577
PIK3CA,1599,0.4573
JUN,1599,0.4573
CNNM4,1591,0.4573
SAMD4A,1600,0.4569
TBC1D12,1597,0.4568
SGMS1,1600,0.4566
HSPA4,1594,0.4562
RFX7,1600,0.4561
PEAK1,1600,0.456
WSB1,1600,0.4559
KCNQ1OT1,1600,0.4559
MAP4K3,1600,0.4556
TDRD3,1592,0.4555
MXI1,1599,0.4553
MORC3,1598,0.4551
AUTS2,1598,0.4551
UBR3,1600,0.4551
LDHB,1593,0.4549
CACNG2,1459,0.4546
SCD,1600,0.4545
HIBCH,1600,0.4545
EGR2,1473,0.4538
HERC4,1600,0.4537
