patient,drug,n_genes_scored,mean_abs_delta,r
ACH-000120,5-Azacytidine,10563,0.525,0.0944
ACH-000120,5-Fluorouracil,10582,0.5124,0.0815
ACH-000120,AZD-8055,10346,0.564,0.0487
ACH-000120,Afatinib,11647,0.4141,0.097
ACH-000120,Alpelisib,10129,0.6087,0.0549
ACH-000120,Bicalutamide,10831,0.4936,0.1053
ACH-000120,Bortezomib,10116,0.7105,0.1864
ACH-000120,Capivasertib,10316,0.5617,0.0376
ACH-000120,Cytarabine,11346,0.4501,0.0747
ACH-000120,Dabrafenib,10623,0.5512,0.0214
ACH-000120,Dinaciclib,9645,1.2445,0.6003
ACH-000120,Docetaxel,10696,0.5343,0.1179
ACH-000120,Erlotinib,10297,0.5298,0.0471
ACH-000120,Fulvestrant,10664,0.509,0.0843
ACH-000120,Gefitinib,10800,0.4745,0.0675
ACH-000120,Gemcitabine,10635,0.5501,0.0672
ACH-000120,Ipatasertib,10237,0.6836,-0.0255
ACH-000120,Irinotecan,10556,0.5464,0.061
ACH-000120,LJI308,10076,0.6477,0.1263
ACH-000120,Methotrexate,10480,0.525,0.1001
ACH-000120,Oxaliplatin,10433,0.5795,0.0946
ACH-000120,Paclitaxel,10662,0.5284,0.0194
ACH-000120,Rapamycin,10723,0.5125,0.0882
ACH-000120,Retinoic acid,10766,0.5064,0.083
ACH-000120,Temsirolimus,10584,0.525,0.0935
ACH-000120,Trametinib,11164,0.5875,0.2754
ACH-000120,Trametinib (DMSO_TF solvate),10109,0.6012,0.1044
ACH-000120,Vismodegib,10501,0.508,0.0865
ACH-000120,crizotinib,10123,0.52,0.0404
ACH-000120,olaparib,10473,0.6855,0.0701
ACH-000120,palbociclib,10253,0.5832,0.0314
ACH-000120,venetoclax,10286,0.5985,0.0544
ACH-000138,5-Azacytidine,12415,0.3935,0.0669
ACH-000138,5-Fluorouracil,12439,0.3891,0.1126
ACH-000138,AZD-8055,12574,0.4406,0.1276
ACH-000138,Afatinib,13169,0.2837,0.0509
ACH-000138,Alpelisib,12516,0.431,0.1303
ACH-000138,Bicalutamide,12533,0.378,0.0941
ACH-000138,Bortezomib,12489,0.6912,0.4372
ACH-000138,Capivasertib,12565,0.3846,0.0829
ACH-000138,Cytarabine,12910,0.3271,0.0439
ACH-000138,Dabrafenib,12552,0.3986,0.0572
ACH-000138,Dinaciclib,12068,1.0969,0.6563
ACH-000138,Docetaxel,12615,0.4606,0.1968
ACH-000138,Erlotinib,12250,0.3993,0.0635
ACH-000138,Fulvestrant,12443,0.3915,0.0944
ACH-000138,Gefitinib,12550,0.3514,0.0325
ACH-000138,Gemcitabine,12706,0.413,0.1576
ACH-000138,Ipatasertib,12478,0.4588,0.0325
ACH-000138,Irinotecan,12661,0.41,0.1362
ACH-000138,LJI308,12393,0.4509,0.1419
ACH-000138,Methotrexate,12306,0.3989,0.0886
ACH-000138,Oxaliplatin,12607,0.4143,0.1636
ACH-000138,Paclitaxel,12713,0.3992,0.0838
ACH-000138,Rapamycin,12619,0.4128,0.1918
ACH-000138,Retinoic acid,12753,0.3856,0.1584
ACH-000138,Temsirolimus,12587,0.4074,0.1409
ACH-000138,Trametinib,12988,0.4354,0.3077
ACH-000138,Trametinib (DMSO_TF solvate),12397,0.4747,0.2073
ACH-000138,Vismodegib,12341,0.3821,0.0892
ACH-000138,crizotinib,12213,0.4081,0.0981
ACH-000138,olaparib,12670,0.7952,0.077
ACH-000138,palbociclib,12537,0.4168,0.1033
ACH-000138,venetoclax,12529,0.4942,0.1881
ACH-000139,5-Azacytidine,12045,0.4205,0.1103
ACH-000139,5-Fluorouracil,12096,0.3923,0.1017
ACH-000139,AZD-8055,12263,0.4396,0.1362
ACH-000139,Afatinib,12845,0.2906,0.0523
ACH-000139,Alpelisib,12198,0.4326,0.1257
ACH-000139,Bicalutamide,12248,0.3846,0.0913
ACH-000139,Bortezomib,12207,0.6381,0.3396
ACH-000139,Capivasertib,12266,0.3999,0.1047
ACH-000139,Cytarabine,12603,0.3359,0.0525
ACH-000139,Dabrafenib,12301,0.4212,0.0946
ACH-000139,Dinaciclib,11186,1.2402,0.6855
ACH-000139,Docetaxel,12311,0.4572,0.2126
ACH-000139,Erlotinib,11650,0.4042,0.0462
ACH-000139,Fulvestrant,12154,0.3865,0.063
ACH-000139,Gefitinib,12253,0.3582,0.0661
ACH-000139,Gemcitabine,12438,0.407,0.1121
ACH-000139,Ipatasertib,12215,0.4857,0.0783
ACH-000139,Irinotecan,12387,0.41,0.1293
ACH-000139,LJI308,12148,0.4823,0.2021
ACH-000139,Methotrexate,12030,0.4123,0.1352
ACH-000139,Oxaliplatin,12323,0.4221,0.1406
ACH-000139,Paclitaxel,12457,0.3976,0.0815
ACH-000139,Rapamycin,12348,0.4195,0.1827
