patient,drug,n_rows,n_plates,n_plates_half0,n_plates_half1,n_dose_levels
ACH-000120,5-Azacytidine,188130,3,1,2,3
ACH-000120,5-Fluorouracil,188130,3,1,2,3
ACH-000120,AZD-8055,188130,3,1,2,3
ACH-000120,Afatinib,564390,7,3,4,3
ACH-000120,Alpelisib,188130,3,1,2,3
ACH-000120,Bicalutamide,188130,3,1,2,3
ACH-000120,Bortezomib,188130,3,1,2,3
ACH-000120,Capivasertib,188130,3,1,2,3
ACH-000120,Cytarabine,376260,4,2,2,3
ACH-000120,Dabrafenib,188130,3,1,2,3
ACH-000120,Dinaciclib,188130,3,1,2,3
ACH-000120,Docetaxel,250840,4,2,2,3
ACH-000120,Erlotinib,188130,3,1,2,3
ACH-000120,Fulvestrant,188130,3,1,2,3
ACH-000120,Gefitinib,188130,3,1,2,3
ACH-000120,Gemcitabine,188130,3,1,2,3
ACH-000120,Ipatasertib,188130,3,1,2,3
ACH-000120,Irinotecan,188130,3,1,2,3
ACH-000120,LJI308,188130,3,1,2,3
ACH-000120,Methotrexate,188130,3,1,2,3
ACH-000120,Oxaliplatin,188130,3,1,2,3
ACH-000120,Paclitaxel,188130,3,1,2,3
ACH-000120,Rapamycin,250840,4,2,2,3
ACH-000120,Retinoic acid,250840,4,2,2,3
ACH-000120,Ribociclib,188130,1,1,0,3
ACH-000120,Temsirolimus,250840,4,2,2,3
ACH-000120,Trametinib,376260,6,2,4,3
ACH-000120,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000120,Vismodegib,188130,3,1,2,3
ACH-000120,crizotinib,188130,3,1,2,3
ACH-000120,olaparib,250840,4,2,2,3
ACH-000120,palbociclib,188130,3,1,2,3
ACH-000120,venetoclax,188130,3,1,2,3
ACH-000138,5-Azacytidine,188130,3,1,2,3
ACH-000138,5-Fluorouracil,188130,3,1,2,3
ACH-000138,AZD-8055,188130,3,1,2,3
ACH-000138,Afatinib,564390,7,3,4,3
ACH-000138,Alpelisib,188130,3,1,2,3
ACH-000138,Bicalutamide,188130,3,1,2,3
ACH-000138,Bortezomib,188130,3,1,2,3
ACH-000138,Capivasertib,188130,3,1,2,3
ACH-000138,Cytarabine,376260,4,2,2,3
ACH-000138,Dabrafenib,188130,3,1,2,3
ACH-000138,Dinaciclib,188130,3,1,2,3
ACH-000138,Docetaxel,250840,4,2,2,3
ACH-000138,Erlotinib,188130,3,1,2,3
ACH-000138,Fulvestrant,188130,3,1,2,3
ACH-000138,Gefitinib,188130,3,1,2,3
ACH-000138,Gemcitabine,188130,3,1,2,3
ACH-000138,Ipatasertib,188130,3,1,2,3
ACH-000138,Irinotecan,188130,3,1,2,3
ACH-000138,LJI308,188130,3,1,2,3
ACH-000138,Methotrexate,188130,3,1,2,3
ACH-000138,Oxaliplatin,188130,3,1,2,3
ACH-000138,Paclitaxel,188130,3,1,2,3
ACH-000138,Rapamycin,250840,4,2,2,3
ACH-000138,Retinoic acid,250840,4,2,2,3
ACH-000138,Ribociclib,188130,1,1,0,3
ACH-000138,Temsirolimus,250840,4,2,2,3
ACH-000138,Trametinib,376260,6,2,4,3
ACH-000138,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000138,Vismodegib,188130,3,1,2,3
ACH-000138,crizotinib,188130,3,1,2,3
ACH-000138,olaparib,250840,4,2,2,3
ACH-000138,palbociclib,188130,3,1,2,3
ACH-000138,venetoclax,188130,3,1,2,3
ACH-000139,5-Azacytidine,188130,3,1,2,3
ACH-000139,5-Fluorouracil,188130,3,1,2,3
ACH-000139,AZD-8055,188130,3,1,2,3
ACH-000139,Afatinib,564390,7,3,4,3
ACH-000139,Alpelisib,188130,3,1,2,3
ACH-000139,Bicalutamide,188130,3,1,2,3
ACH-000139,Bortezomib,188130,3,1,2,3
ACH-000139,Capivasertib,188130,3,1,2,3
ACH-000139,Cytarabine,376260,4,2,2,3
ACH-000139,Dabrafenib,188130,3,1,2,3
ACH-000139,Dinaciclib,188130,3,1,2,3
ACH-000139,Docetaxel,250840,4,2,2,3
ACH-000139,Erlotinib,188130,3,1,2,3
ACH-000139,Fulvestrant,188130,3,1,2,3
ACH-000139,Gefitinib,188130,3,1,2,3
ACH-000139,Gemcitabine,188130,3,1,2,3
ACH-000139,Ipatasertib,188130,3,1,2,3
ACH-000139,Irinotecan,188130,3,1,2,3
ACH-000139,LJI308,188130,3,1,2,3
ACH-000139,Methotrexate,188130,3,1,2,3
ACH-000139,Oxaliplatin,188130,3,1,2,3
ACH-000139,Paclitaxel,188130,3,1,2,3
ACH-000139,Rapamycin,250840,4,2,2,3
ACH-000139,Retinoic acid,250840,4,2,2,3
ACH-000139,Ribociclib,188130,1,1,0,3
ACH-000139,Temsirolimus,250840,4,2,2,3
ACH-000139,Trametinib,376260,6,2,4,3
ACH-000139,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000139,Vismodegib,188130,3,1,2,3
ACH-000139,crizotinib,188130,3,1,2,3
ACH-000139,olaparib,250840,4,2,2,3
ACH-000139,palbociclib,188130,3,1,2,3
ACH-000139,venetoclax,188130,3,1,2,3
ACH-000148,5-Azacytidine,188130,3,1,2,3
ACH-000148,5-Fluorouracil,188130,3,1,2,3
ACH-000148,AZD-8055,188130,3,1,2,3
ACH-000148,Afatinib,564390,7,3,4,3
ACH-000148,Alpelisib,188130,3,1,2,3
ACH-000148,Bicalutamide,188130,3,1,2,3
ACH-000148,Bortezomib,188130,3,1,2,3
ACH-000148,Capivasertib,188130,3,1,2,3
ACH-000148,Cytarabine,376260,4,2,2,3
ACH-000148,Dabrafenib,188130,3,1,2,3
ACH-000148,Dinaciclib,188130,3,1,2,3
ACH-000148,Docetaxel,250840,4,2,2,3
ACH-000148,Erlotinib,188130,3,1,2,3
ACH-000148,Fulvestrant,188130,3,1,2,3
ACH-000148,Gefitinib,188130,3,1,2,3
ACH-000148,Gemcitabine,188130,3,1,2,3
ACH-000148,Ipatasertib,188130,3,1,2,3
ACH-000148,Irinotecan,188130,3,1,2,3
ACH-000148,LJI308,188130,3,1,2,3
ACH-000148,Methotrexate,188130,3,1,2,3
ACH-000148,Oxaliplatin,188130,3,1,2,3
ACH-000148,Paclitaxel,188130,3,1,2,3
ACH-000148,Rapamycin,250840,4,2,2,3
ACH-000148,Retinoic acid,250840,4,2,2,3
ACH-000148,Ribociclib,188130,1,1,0,3
ACH-000148,Temsirolimus,250840,4,2,2,3
ACH-000148,Trametinib,376260,6,2,4,3
ACH-000148,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000148,Vismodegib,188130,3,1,2,3
ACH-000148,crizotinib,188130,3,1,2,3
ACH-000148,olaparib,188130,3,2,1,3
ACH-000148,palbociclib,188130,3,1,2,3
ACH-000148,venetoclax,188130,3,1,2,3
ACH-000164,5-Azacytidine,188130,3,1,2,3
ACH-000164,5-Fluorouracil,188130,3,1,2,3
ACH-000164,AZD-8055,188130,3,1,2,3
